context_id,time_of_day,hour,location,occasion,price_shown
ctx_000,afternoon,13,outdoor,morning,3.53
ctx_001,late_night,3,gym,post_gym,3.97
ctx_002,morning,5,work,social,3.74
ctx_003,morning,9,cafe,social,2.61
ctx_004,late_night,1,cafe,work,1.69
ctx_005,morning,8,home,work,3.98
ctx_006,late_night,23,outdoor,evening,4.97
ctx_007,afternoon,16,gym,afternoon,4.73
ctx_008,evening,17,outdoor,morning,4.65
ctx_009,morning,8,work,late_night,2.9
ctx_010,late_night,0,outdoor,late_night,5.21
ctx_011,morning,7,bar,work,4.75
ctx_012,late_night,2,gym,morning,5.07
ctx_013,afternoon,13,work,afternoon,2.79
ctx_014,afternoon,12,work,work,4.41
ctx_015,morning,7,store,afternoon,5.5
ctx_016,morning,5,home,evening,3.19
ctx_017,late_night,0,home,work,5.5
ctx_018,late_night,22,work,afternoon,1.33
ctx_019,morning,7,bar,evening,1.58
ctx_020,morning,5,bar,evening,4.65
ctx_021,morning,9,cafe,evening,5.39
ctx_022,late_night,0,cafe,afternoon,5.47
ctx_023,late_night,3,gym,afternoon,4.76
ctx_024,late_night,4,bar,evening,1.72
ctx_025,late_night,3,outdoor,social,4.81
ctx_026,morning,9,home,afternoon,5.11
ctx_027,afternoon,14,cafe,morning,1.64
ctx_028,late_night,23,store,morning,3.7
ctx_029,afternoon,14,cafe,late_night,4.86
ctx_030,evening,18,bar,late_night,3.71
ctx_031,morning,10,bar,morning,5.13
ctx_032,morning,9,outdoor,afternoon,3.0
ctx_033,afternoon,14,work,afternoon,4.07
ctx_034,afternoon,12,outdoor,social,4.06
ctx_035,afternoon,14,cafe,post_gym,5.66
ctx_036,late_night,3,cafe,morning,5.61
ctx_037,morning,7,store,social,4.86
ctx_038,morning,8,outdoor,post_gym,4.68
ctx_039,morning,7,home,afternoon,5.55
ctx_040,late_night,0,outdoor,morning,5.92
ctx_041,afternoon,13,cafe,afternoon,5.19
ctx_042,late_night,0,store,afternoon,3.59
ctx_043,morning,7,store,morning,2.9
ctx_044,evening,20,home,social,5.01
ctx_045,evening,20,work,work,1.57
ctx_046,evening,19,home,social,5.6
ctx_047,late_night,1,store,social,3.4
ctx_048,afternoon,16,bar,post_gym,3.26
ctx_049,evening,18,outdoor,work,3.49
ctx_050,morning,5,gym,work,2.81
ctx_051,morning,10,outdoor,social,1.07
ctx_052,evening,20,home,evening,5.88
ctx_053,morning,8,home,late_night,3.07
ctx_054,morning,7,home,evening,3.98
ctx_055,afternoon,12,outdoor,evening,3.13
ctx_056,late_night,23,bar,afternoon,2.03
ctx_057,afternoon,16,gym,morning,3.36
ctx_058,morning,7,bar,social,2.47
ctx_059,evening,18,store,social,3.62
ctx_060,afternoon,16,work,afternoon,3.8
ctx_061,late_night,3,home,morning,1.38
ctx_062,late_night,2,work,social,5.49
ctx_063,late_night,1,cafe,work,1.13
ctx_064,evening,17,store,morning,3.04
ctx_065,late_night,22,bar,evening,4.36
ctx_066,morning,7,outdoor,work,5.0
ctx_067,late_night,2,bar,work,3.78
ctx_068,morning,7,work,post_gym,2.22
ctx_069,afternoon,13,outdoor,post_gym,5.81
ctx_070,evening,19,gym,afternoon,2.02
