log_id,timestamp,product_id,segment_id,context_id,preference_value,rating,liked
log_0000,2024-01-05 16:00:00,prod_064,seg_01,ctx_178,0.523,3,0
log_0001,2024-01-29 18:00:00,prod_082,seg_09,ctx_038,0.41,3,0
log_0002,2024-01-18 11:00:00,prod_054,seg_08,ctx_123,0.613,3,1
log_0003,2024-01-24 19:00:00,prod_003,seg_03,ctx_413,0.895,5,1
log_0004,2024-01-06 21:00:00,prod_084,seg_05,ctx_255,0.374,2,0
log_0005,2024-01-20 21:00:00,prod_007,seg_05,ctx_045,0.585,3,0
log_0006,2024-01-07 19:00:00,prod_090,seg_02,ctx_895,0.696,4,1
log_0007,2024-01-10 20:00:00,prod_073,seg_01,ctx_063,0.638,4,1
log_0008,2024-01-11 06:00:00,prod_045,seg_09,ctx_540,0.494,3,0
log_0009,2024-01-27 16:00:00,prod_048,seg_04,ctx_090,0.802,4,1
log_0010,2024-01-23 05:00:00,prod_098,seg_02,ctx_887,0.657,4,1
log_0011,2024-01-20 23:00:00,prod_018,seg_08,ctx_280,0.66,4,1
log_0012,2024-01-25 03:00:00,prod_074,seg_04,ctx_181,0.995,5,1
log_0013,2024-01-08 22:00:00,prod_012,seg_03,ctx_972,0.615,3,1
log_0014,2024-01-05 06:00:00,prod_074,seg_01,ctx_723,0.482,3,0
log_0015,2024-01-08 09:00:00,prod_055,seg_00,ctx_832,0.576,3,0
log_0016,2024-01-15 09:00:00,prod_055,seg_05,ctx_442,0.664,4,1
log_0017,2024-01-19 07:00:00,prod_012,seg_08,ctx_959,0.628,4,1
log_0018,2024-01-12 06:00:00,prod_078,seg_06,ctx_353,0.406,3,0
log_0019,2024-01-24 10:00:00,prod_068,seg_01,ctx_361,0.306,2,0
log_0020,2024-01-05 02:00:00,prod_025,seg_05,ctx_403,0.747,4,1
log_0021,2024-01-20 23:00:00,prod_069,seg_07,ctx_666,0.566,3,0
log_0022,2024-01-05 06:00:00,prod_078,seg_05,ctx_648,0.39,3,0
log_0023,2024-01-05 06:00:00,prod_027,seg_00,ctx_777,0.873,4,1
log_0024,2024-01-07 16:00:00,prod_042,seg_09,ctx_620,0.855,4,1
log_0025,2024-01-13 04:00:00,prod_028,seg_02,ctx_935,0.635,4,1
log_0026,2024-01-10 17:00:00,prod_049,seg_00,ctx_824,0.579,3,0
log_0027,2024-01-20 07:00:00,prod_092,seg_04,ctx_786,0.684,4,1
log_0028,2024-01-26 07:00:00,prod_092,seg_00,ctx_973,0.535,3,0
log_0029,2024-01-19 20:00:00,prod_025,seg_09,ctx_638,0.506,3,0
log_0030,2024-01-22 12:00:00,prod_027,seg_06,ctx_590,0.338,2,0
log_0031,2024-01-15 09:00:00,prod_031,seg_00,ctx_163,0.875,4,1
log_0032,2024-01-04 19:00:00,prod_049,seg_00,ctx_345,0.588,3,0
log_0033,2024-01-01 07:00:00,prod_053,seg_00,ctx_986,0.541,3,0
log_0034,2024-01-28 21:00:00,prod_070,seg_03,ctx_175,0.892,5,1
log_0035,2024-01-19 16:00:00,prod_069,seg_08,ctx_790,0.824,4,1
log_0036,2024-01-30 19:00:00,prod_017,seg_05,ctx_223,0.516,3,0
log_0037,2024-01-13 00:00:00,prod_077,seg_02,ctx_049,0.474,3,0
log_0038,2024-01-14 11:00:00,prod_064,seg_06,ctx_961,0.683,4,1
log_0039,2024-01-15 17:00:00,prod_090,seg_00,ctx_210,0.919,5,1
log_0040,2024-01-14 04:00:00,prod_032,seg_05,ctx_520,0.5,3,0
log_0041,2024-01-25 21:00:00,prod_002,seg_02,ctx_403,0.613,3,1
log_0042,2024-01-23 21:00:00,prod_088,seg_05,ctx_509,0.631,4,1
log_0043,2024-01-12 22:00:00,prod_001,seg_06,ctx_962,0.804,4,1
log_0044,2024-01-27 17:00:00,prod_057,seg_00,ctx_815,0.869,4,1
log_0045,2024-01-27 23:00:00,prod_063,seg_03,ctx_744,0.74,4,1
log_0046,2024-01-22 18:00:00,prod_068,seg_09,ctx_270,0.326,2,0
log_0047,2024-01-06 22:00:00,prod_030,seg_07,ctx_927,0.787,4,1
log_0048,2024-01-14 04:00:00,prod_067,seg_08,ctx_263,0.667,4,1
log_0049,2024-01-22 11:00:00,prod_075,seg_02,ctx_017,0.718,4,1
log_0050,2024-01-24 16:00:00,prod_088,seg_05,ctx_268,0.455,3,0
log_0051,2024-01-11 07:00:00,prod_024,seg_06,ctx_920,0.844,4,1
