agent_id,segment_id,timestamp,time_step,product_id,context_id,intent_value,outcome,product_category,price,season,inflation_regime
0,seg_08,2024-01-01,0,prod_045,ctx_036,0.6245648264884949,0.6245648264884949,coffee_drink,3.31,winter,normal
1,seg_00,2024-01-01,0,prod_033,ctx_356,0.5874530673027039,0.5874530673027039,energy_drink,4.91,winter,normal
2,seg_09,2024-01-01,0,prod_045,ctx_885,0.6249141097068787,0.6249141097068787,coffee_drink,3.31,winter,normal
3,seg_05,2024-01-01,0,prod_022,ctx_967,0.5838230848312378,0.5838230848312378,soda,3.36,winter,normal
4,seg_09,2024-01-01,0,prod_080,ctx_261,0.5953101515769958,0.5953101515769958,soda,2.23,winter,normal
5,seg_00,2024-01-01,0,prod_070,ctx_356,0.6316460967063904,0.6316460967063904,coffee_drink,3.35,winter,normal
6,seg_02,2024-01-01,0,prod_010,ctx_443,0.7536811828613281,0.7536811828613281,coffee_drink,1.55,winter,normal
7,seg_01,2024-01-01,0,prod_083,ctx_263,0.5910733938217163,0.5910733938217163,energy_drink,4.93,winter,normal
8,seg_02,2024-01-01,0,prod_010,ctx_067,0.6486835479736328,0.6486835479736328,coffee_drink,1.55,winter,normal
9,seg_03,2024-01-01,0,prod_083,ctx_140,0.5993698239326477,0.5993698239326477,energy_drink,4.93,winter,normal
0,seg_08,2024-01-02,1,prod_073,ctx_724,0.623298168182373,0.623298168182373,tea,2.74,winter,high
1,seg_00,2024-01-02,1,prod_033,ctx_784,0.5611809492111206,0.5611809492111206,energy_drink,4.91,winter,high
2,seg_09,2024-01-02,1,prod_018,ctx_397,0.6242478489875793,0.6242478489875793,water_enhanced,4.36,winter,high
3,seg_05,2024-01-02,1,prod_003,ctx_479,0.6505317091941833,0.6505317091941833,water_enhanced,2.2,winter,high
4,seg_09,2024-01-02,1,prod_004,ctx_775,0.6095405220985413,0.6095405220985413,water_enhanced,1.55,winter,high
5,seg_00,2024-01-02,1,prod_018,ctx_357,0.6217124462127686,0.6217124462127686,water_enhanced,4.36,winter,high
6,seg_02,2024-01-02,1,prod_022,ctx_213,0.6747391223907471,0.6747391223907471,soda,3.36,winter,high
7,seg_01,2024-01-02,1,prod_022,ctx_071,0.6190153956413269,0.6190153956413269,soda,3.36,winter,high
8,seg_02,2024-01-02,1,prod_053,ctx_443,0.7009132504463196,0.7009132504463196,water_enhanced,3.51,winter,high
9,seg_03,2024-01-02,1,prod_019,ctx_709,0.7231308221817017,0.7231308221817017,energy_drink,2.44,winter,high
0,seg_08,2024-01-03,2,prod_022,ctx_258,0.5948794484138489,0.5948794484138489,soda,3.36,winter,high
1,seg_00,2024-01-03,2,prod_033,ctx_493,0.5892006158828735,0.5892006158828735,energy_drink,4.91,winter,high
2,seg_09,2024-01-03,2,prod_053,ctx_504,0.6092490553855896,0.6092490553855896,water_enhanced,3.51,winter,high
3,seg_05,2024-01-03,2,prod_033,ctx_650,0.6234560608863831,0.6234560608863831,energy_drink,4.91,winter,high
4,seg_09,2024-01-03,2,prod_090,ctx_606,0.5916390419006348,0.5916390419006348,energy_drink,1.82,winter,high
5,seg_00,2024-01-03,2,prod_064,ctx_415,0.6044586300849915,0.6044586300849915,water_enhanced,3.95,winter,high
6,seg_02,2024-01-03,2,prod_010,ctx_563,0.7211736440658569,0.7211736440658569,coffee_drink,1.55,winter,high
7,seg_01,2024-01-03,2,prod_033,ctx_922,0.6107481718063354,0.6107481718063354,energy_drink,4.91,winter,high
8,seg_02,2024-01-03,2,prod_022,ctx_406,0.6863685250282288,0.6863685250282288,soda,3.36,winter,high
9,seg_03,2024-01-03,2,prod_070,ctx_819,0.6164889335632324,0.6164889335632324,coffee_drink,3.35,winter,high
0,seg_08,2024-01-04,3,prod_044,ctx_879,0.5974434614181519,0.5974434614181519,juice,1.8,winter,high
1,seg_00,2024-01-04,3,prod_045,ctx_815,0.614832878112793,0.614832878112793,coffee_drink,3.31,winter,high
2,seg_09,2024-01-04,3,prod_000,ctx_718,0.639259397983551,0.639259397983551,water_enhanced,1.85,winter,high
3,seg_05,2024-01-04,3,prod_053,ctx_876,0.6224004626274109,0.6224004626274109,water_enhanced,3.51,winter,high
4,seg_09,2024-01-04,3,prod_090,ctx_150,0.599577009677887,0.599577009677887,energy_drink,1.82,winter,high
5,seg_00,2024-01-04,3,prod_080,ctx_443,0.7433558702468872,0.7433558702468872,soda,2.23,winter,high
6,seg_02,2024-01-04,3,prod_070,ctx_610,0.6713149547576904,0.6713149547576904,coffee_drink,3.35,winter,high
7,seg_01,2024-01-04,3,prod_030,ctx_314,0.6068987846374512,0.6068987846374512,sports_drink,1.86,winter,high
8,seg_02,2024-01-04,3,prod_018,ctx_662,0.6368479132652283,0.6368479132652283,water_enhanced,4.36,winter,high
9,seg_03,2024-01-04,3,prod_039,ctx_074,0.6428309082984924,0.6428309082984924,water_enhanced,3.94,winter,high
0,seg_08,2024-01-05,4,prod_000,ctx_885,0.6394729018211365,0.6394729018211365,water_enhanced,1.85,winter,high
1,seg_00,2024-01-05,4,prod_083,ctx_085,0.5397482514381409,0.5397482514381409,energy_drink,4.93,winter,high
2,seg_09,2024-01-05,4,prod_010,ctx_486,0.6136451363563538,0.6136451363563538,coffee_drink,1.55,winter,high
3,seg_05,2024-01-05,4,prod_010,ctx_389,0.6177393198013306,0.6177393198013306,coffee_drink,1.55,winter,high
4,seg_09,2024-01-05,4,prod_010,ctx_109,0.6412991881370544,0.6412991881370544,coffee_drink,1.55,winter,high
