,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
prod_000,0.017271455,0.0042859875,-0.0069698947,0.043343477,0.03019283,-0.095063426,-0.011612302,0.0081184665,-0.011802064,0.03003644,-0.011979168,0.002078295,0.035041142,-0.017107373,-0.19921337,0.007730202,-0.03503022,-0.02342491,-0.021734934,0.0022676259,-0.014837877,-0.037811324,0.01226271,0.24883133,-0.0027982541,0.037631936,-0.028564362,-0.004876541,-0.010728738,-0.051991686,0.024714049,0.1731664,0.115367465,-0.020317813,-0.020961981,-0.2837364,0.038207483,0.1724754,-0.06392957,-0.025199471,0.3165761,-0.04315022,-0.017081732,-0.0371465,-0.01916177,0.009393955,0.010506849,0.101076305,-0.018958276,-0.0018971266,-0.044422984,0.105800584,0.019336281,-0.0017589036,0.0009948941,-0.1445521,0.010398044,-0.029403534,0.13426834,0.031245476,0.015149349,0.014623216,-0.037724193,0.031689532,-0.0011203567,0.24805912,-0.035622988,-0.0057968884,0.0004514417,0.034581244,-0.008335691,-0.30940524,0.00087246014,-0.03803708,-0.019010765,-0.042374365,-0.009322509,0.0008057215,-0.31239757,0.045100097,0.045568857,-0.027154753,0.011776276,0.022535548,-0.0106537435,0.13135591,-0.0037033593,-0.020611335,-0.010958643,-0.09729756,-0.12388702,-0.028234733,-0.004007494,-0.1383974,-0.07347814,0.009416788,0.019420447,-0.13948417,0.021742376,0.01928586,0.061290894,-0.049197104,0.04571554,-0.065242715,0.32122248,-0.01953139,-0.038800597,0.040030006,-0.036060303,-0.06390053,-0.054033708,-0.000302983,0.012356345,-0.006629686,0.112302944,-0.02099075,0.025910452,-0.038642164,-0.0422313,0.006393148,-0.014441791,-0.03196845,0.19154777,-0.0096294675,0.010198982,0.041896608,0.0026749852,0.024706848
prod_001,-0.021037128,-0.080864586,0.055305462,-0.032771517,-0.012832822,0.11357068,0.24850689,-0.18819799,0.029933246,-0.033723176,-0.0011144291,-0.028731927,-0.041056626,-0.23116367,0.087657936,0.029442385,0.053938963,0.023037326,0.074871466,-0.18153748,-0.003892374,0.19532761,0.15037404,0.0001896919,-0.044007476,-0.007200645,0.1038779,0.013567406,0.03431922,0.006354588,-0.05807025,-0.079120256,0.0558345,-0.09315865,0.08106516,-0.14663048,-0.035211135,-0.058649264,0.04427057,0.016141336,0.12823313,0.040947612,0.009256629,0.0521912,0.033040598,-0.190462,0.081794724,-0.08649172,0.06055121,0.13557449,0.019654011,-0.0827516,0.15369456,0.044203367,-0.09181459,-0.020637043,-0.030415595,0.07012474,-0.08799859,-0.020886581,-0.12948233,-0.09680503,0.047209173,-0.087722115,-0.10229345,0.013278242,0.05497639,0.087421805,0.009237183,-0.046321373,-0.02363802,-0.13453849,-0.13628316,0.026266541,0.05727949,0.04751734,-0.020611653,-0.007402486,-0.15785119,0.08080489,-0.13168775,0.051483735,-0.022611378,-0.027765404,0.06611716,-0.04037026,0.18905774,0.061568145,-0.15821801,0.06216248,-0.0053552752,0.04107508,-0.1578466,-0.07294382,0.1358218,-0.021809079,-0.017350385,0.038429126,-0.120776355,-0.049908556,-0.042493746,-0.026752852,-0.004208154,0.03368088,0.15959212,0.0195897,0.0596328,-0.044986315,0.08460367,0.0144077325,0.050933108,-0.01025406,0.00034780268,0.1815684,-0.026743291,0.029479848,-0.011560134,0.10665108,0.011502919,-0.124877505,0.03550207,0.020329172,-0.080736615,0.17424725,-0.012995064,-0.051282056,-0.125775,-0.1549066
prod_002,-0.033817105,-0.07176115,0.045636117,0.0045945547,0.010711719,0.042554233,0.19646393,-0.15935382,0.0015342814,0.014377104,-0.003244777,-0.00089590054,-0.0002915882,-0.2187645,-0.0034497066,0.031273533,0.0048171664,0.0017527026,0.06923245,-0.15549856,0.0022203494,0.15038426,0.13771842,0.10580122,-0.020753257,0.016564175,0.07107719,-0.023600355,0.0050581386,-0.02123622,-0.021924924,-0.009929015,0.108099855,-0.10057991,0.06700633,-0.25425407,-0.017885651,0.02645131,0.006477313,0.0012121117,0.25005206,0.002788147,-0.0009826008,0.007206635,0.006003519,-0.14679718,0.092719726,-0.027207239,0.045917943,0.1220709,-0.0048991,-0.021787455,0.15631384,0.06644207,-0.080940545,-0.08451935,-0.010441374,0.04887655,-0.022353336,-0.005679468,-0.11165014,-0.079957426,-0.0023584734,-0.06502551,-0.09095373,0.13334188,0.006318672,0.10085816,0.017985793,-0.0011678104,-0.008095448,-0.2656429,-0.11089696,-0.009392202,0.04410949,-0.0022836972,0.002727772,-0.0048036873,-0.26356822,0.11815099,-0.10568624,0.01114509,-0.0020973405,0.0052943053,0.059406813,0.0117391255,0.17351949,0.019493358,-0.15742292,0.013289006,-0.055923413,0.008571177,-0.14934658,-0.14282407,0.08211825,-0.0004362405,0.026229259,-0.042579684,-0.08773847,-0.049467277,-0.007902417,-0.030573096,0.008254671,0.0073704664,0.2662098,0.0101621365,0.005161861,-0.020089002,0.050285675,0.01121332,0.011272272,-0.001403684,0.0039002453,0.16473342,0.033041574,-0.00676054,0.013593849,0.07561235,-0.020044737,-0.11524997,0.019448467,-0.010615804,0.021512857,0.15432727,0.01857891,-0.0034688471,-0.10101163,-0.12853348
prod_003,0.041694567,0.054251894,-0.06560544,-0.030351637,0.012702775,-0.05743212,-0.116990834,0.09763661,0.018286498,-0.031038458,0.011654655,-0.025744544,-0.054273557,0.13143772,-0.21196884,-0.091082215,0.03537115,0.009491509,-0.08670002,0.08662386,-0.038689896,-0.103417605,-0.09099147,0.19577666,-0.030144151,0.00202525,-0.07409538,0.06353712,0.009180115,-0.00012664667,-0.0073191863,0.22023612,0.04009635,0.076688655,-0.057642426,-0.16236946,0.0998913,0.1448392,-0.08312017,-0.005064176,0.164596,0.008954807,0.016662804,0.008405996,0.0495488,0.064924784,-0.077865474,0.15174638,-0.04919922,-0.07791177,0.002881792,0.16641882,-0.110951126,-0.077889204,0.08350683,-0.08161895,0.0005145783,-0.08754622,0.11170024,0.015991142,0.13040277,0.03776497,0.0010167081,0.115164705,0.0699036,0.16159783,0.012468661,-0.12958492,-0.08472044,-0.03673054,-0.07951507,-0.18315513,0.08809985,0.007150985,-0.087811284,0.0153723275,-0.098095246,-0.03723195,-0.19277586,-0.046336845,0.122054555,-0.007927103,-0.005901032,-0.017873771,-0.060667764,0.093986265,-0.15187848,0.009706577,0.12353807,-0.1397442,-0.08398197,0.016969128,0.11841962,-0.047260426,-0.1303641,0.017028624,-0.06347615,-0.09582238,0.059564646,0.09047542,0.00042803359,-0.014806021,0.0033405973,-0.09125417,0.19395366,-0.070031926,0.03470946,0.06534555,-0.03297216,-0.15364517,0.027216539,-0.042360105,0.0057400395,-0.08742517,0.0966528,0.009777119,-0.06356621,-0.10832415,0.010663014,0.08185903,-0.04696029,0.018700436,0.15500678,-0.120017074,-0.047179606,-0.01774102,0.06828769,0.09629881
prod_004,0.020950966,0.0010720121,-0.0072783846,0.036218893,0.026139906,-0.091405414,-0.0034665705,0.0021737912,-0.008515841,0.030780496,-0.018513847,-0.0029171384,0.02308335,-0.025338428,-0.1955256,0.011664326,-0.026366083,-0.018793074,-0.018904291,-0.002426165,-0.02024837,-0.03589507,0.0153172305,0.25061166,-0.0026096897,0.02927137,-0.017841488,-0.0073889424,-0.0075726733,-0.046488818,0.01830667,0.17065716,0.121348016,-0.02737694,-0.02784537,-0.28317842,0.033632267,0.17576891,-0.060740802,-0.020638933,0.325078,-0.037252594,-0.021582847,-0.03520616,-0.018673,0.0043567726,0.014134235,0.092599675,-0.011444132,0.0018017283,-0.04129597,0.105821826,0.021405209,-0.0035368009,-0.0030830456,-0.14243169,0.0035825693,-0.030637885,0.12965018,0.02843148,0.009674567,0.0090344995,-0.034283496,0.02921917,-0.010052905,0.24660642,-0.0365644,0.0011739682,0.003064828,0.03725451,-0.0040098955,-0.31261158,-0.006370105,-0.03370695,-0.0118497405,-0.04012309,-0.012894835,-0.0026939476,-0.32127056,0.04738451,0.04390026,-0.023671176,0.011188429,0.025101239,-0.004242242,0.13151899,0.0061715962,-0.012374549,-0.015634,-0.09267628,-0.123747714,-0.024564749,-0.00840207,-0.14261055,-0.069233544,0.00245253,0.018478265,-0.14085661,0.021076182,0.010620639,0.060327347,-0.0488804,0.04352444,-0.06198704,0.32115564,-0.01805722,-0.03840191,0.039249204,-0.03337788,-0.059140082,-0.049713116,-0.0005234,0.012957865,-0.0054512965,0.11450709,-0.019487562,0.028747283,-0.030034095,-0.041663352,0.00013533626,-0.015999418,-0.03173427,0.19261515,-0.0062887035,0.012053161,0.034145918,-0.00030159697,0.022200482
prod_005,-0.033608187,-0.073355995,0.056456674,-0.01484002,0.0035645866,0.076271445,0.21665646,-0.17284015,0.02530839,-0.018332457,-0.0050894073,-0.012382203,-0.026326928,-0.23113717,0.040771656,0.02486069,0.039441038,0.030670002,0.078892015,-0.16954824,-0.017491192,0.17398325,0.14731465,0.056571007,-0.026988013,-3.9908726e-05,0.08326414,-0.005099109,0.020231457,0.012827434,-0.03732456,-0.043736,0.09418821,-0.089675106,0.079170175,-0.20796794,-0.031972993,-0.0014726471,0.021642948,0.027229093,0.19387582,0.022220278,0.014070017,0.025750766,0.028991388,-0.16973478,0.08406342,-0.04839691,0.06432756,0.12711762,0.015055903,-0.047431182,0.16218641,0.067248195,-0.08905968,-0.062072843,-0.03360772,0.06413478,-0.056314167,-0.030002676,-0.12291813,-0.098312564,0.024794271,-0.07629164,-0.100606516,0.07781685,0.02905656,0.10641723,0.015435891,-0.025887532,-0.020537352,-0.22032057,-0.11253661,0.0020535039,0.047009956,0.019669065,-0.029324863,-0.021668052,-0.21695803,0.11637425,-0.123849146,0.03583032,-0.011784418,0.0011410359,0.07584471,-0.021486111,0.18456914,0.03370825,-0.16101441,0.036567576,-0.02980799,0.029643213,-0.15343867,-0.11493889,0.10609079,-0.010316377,0.0077241403,-0.01074244,-0.100283094,-0.052065693,-0.028274173,-0.015691914,-0.0005237452,0.023272945,0.21696232,0.012260332,0.037282005,-0.041944347,0.08835609,0.01987403,0.04058049,-0.0051826783,0.006514395,0.18021359,0.016163243,-0.002471202,-0.014713577,0.09319901,0.005210597,-0.12751082,0.018066647,0.0036634828,-0.028103903,0.17141426,0.010912247,-0.030552726,-0.115827225,-0.15592012
prod_006,-0.027861321,-0.07991378,0.05633653,-0.021160072,-0.007655945,0.099329874,0.23340897,-0.17921335,0.024631126,-0.02565749,-0.008675975,-0.019132227,-0.03408178,-0.23900555,0.06478058,0.030085487,0.04808143,0.027441785,0.0762844,-0.17771372,-0.012449609,0.1892976,0.14743234,0.030303609,-0.034947842,-0.009871143,0.094221205,0.0029848563,0.029697936,0.007197544,-0.04704793,-0.06452732,0.075446345,-0.08981844,0.08175343,-0.18103997,-0.030810013,-0.030311061,0.03416452,0.02635929,0.15999173,0.029498177,0.006733536,0.039840844,0.031405292,-0.17992623,0.081585035,-0.064838216,0.06407532,0.13058262,0.016971627,-0.064850345,0.16101249,0.056957033,-0.08932744,-0.041939843,-0.029179323,0.06687501,-0.0744932,-0.02910177,-0.12411237,-0.098732196,0.03775346,-0.080108754,-0.10454128,0.050271526,0.04183995,0.095579416,0.0077568092,-0.037289657,-0.023813346,-0.18263029,-0.12752354,0.01739543,0.0521218,0.033456787,-0.022116302,-0.012447873,-0.18830487,0.099585555,-0.12490635,0.04595817,-0.01648397,-0.012918031,0.07441201,-0.03287484,0.18556015,0.047602247,-0.16130014,0.048830908,-0.017464595,0.036876176,-0.15408015,-0.09747293,0.12416847,-0.013123882,-0.0005411135,0.00947345,-0.113743775,-0.052647818,-0.03749721,-0.022954851,-0.0071512777,0.024597304,0.19150075,0.016814083,0.050923984,-0.04512905,0.08742164,0.015377407,0.04663887,-0.00858008,0.00037792485,0.1815529,-0.00655574,0.014482341,-0.010481405,0.10181196,0.010902462,-0.13020499,0.02760258,0.013582821,-0.052950803,0.17460229,0.00012857934,-0.040124442,-0.12084921,-0.1568965
prod_007,-0.010527173,-0.037884697,0.022036424,0.038385835,0.028017053,-0.04617668,0.09350223,-0.084559806,-0.017177591,0.044918567,-0.0048043784,0.013101585,0.042911537,-0.1320898,-0.10621246,0.02945537,-0.045002244,-0.024518203,0.029979786,-0.08664285,0.010456033,0.057405517,0.08878973,0.20122716,0.0016386183,0.035234768,0.02343066,-0.028629499,-0.016576601,-0.040499806,0.017372392,0.08782697,0.13280697,-0.06916548,0.016683362,-0.30809218,-0.0024988726,0.11277116,-0.02400934,-0.021163322,0.33250558,-0.036357228,-0.004951193,-0.032392014,-0.032988966,-0.06687713,0.06780033,0.043589614,0.0109479735,0.06461148,-0.031987835,0.047957573,0.100997195,0.048353583,-0.047038548,-0.12907264,0.01340559,0.011239552,0.072764024,0.018220944,-0.060922172,-0.028211867,-0.039579436,-0.022152334,-0.05130845,0.22152682,-0.03632439,0.0660716,0.02859465,0.041535612,0.01382095,-0.3356806,-0.062521175,-0.03593256,0.020953998,-0.040067945,0.027097045,0.00032727275,-0.32770044,0.100298226,-0.038759366,-0.014956681,0.008267276,0.031369533,0.02367562,0.07908496,0.099419266,-0.014489848,-0.100570045,-0.035573862,-0.089214474,-0.017406754,-0.09320498,-0.17153502,-0.0030900214,0.008495537,0.03921107,-0.10541793,-0.027977977,-0.025970507,0.043645065,-0.040376462,0.036275335,-0.025428718,0.3233218,-0.0044893427,-0.05067219,0.0152060585,-0.0042375242,-0.009634565,-0.05350901,0.0116253765,0.010035806,0.084436566,0.08607078,-0.0110358745,0.036444187,0.024401538,-0.05451826,-0.057679802,0.007798986,-0.029770758,0.12517413,0.08310406,0.030037079,0.04006657,-0.046949852,-0.058584917
prod_008,-0.018146727,-0.04231478,0.023124263,0.03828614,0.032251302,-0.03861441,0.10165252,-0.088557504,-0.02115508,0.04835857,-0.010141497,0.010740818,0.034770213,-0.14132944,-0.101733126,0.03193433,-0.035595372,-0.02085955,0.036299326,-0.093409084,0.001002622,0.06698509,0.09115899,0.19993289,-0.0010170271,0.029450858,0.024861215,-0.030951954,-0.01376771,-0.04062584,0.014174966,0.078454435,0.13321029,-0.07593568,0.02374808,-0.30794927,0.0005243108,0.10886475,-0.028094843,-0.01762849,0.32315695,-0.035275377,-0.009309949,-0.028309757,-0.021601649,-0.07259826,0.06987279,0.044187363,0.009956304,0.07207052,-0.03280307,0.044088338,0.10695783,0.053034786,-0.04788184,-0.12992597,0.0077172443,0.013646239,0.06222945,0.008143775,-0.06555725,-0.03292913,-0.038189612,-0.020042542,-0.060143,0.2162784,-0.033977006,0.07387954,0.02543154,0.040502083,0.008559848,-0.3320735,-0.06070452,-0.03654342,0.02085284,-0.037658364,0.022544453,-0.00037704394,-0.3275909,0.104690894,-0.044936847,-0.020316038,0.0045782267,0.028162526,0.03228088,0.07826104,0.101195574,-0.0141985295,-0.10891196,-0.03567396,-0.09101142,-0.01598552,-0.0978527,-0.1689447,0.0039807204,0.011147175,0.043231256,-0.11048521,-0.03622822,-0.028740974,0.035916682,-0.037076138,0.033691473,-0.025399193,0.32000017,-0.0070941607,-0.045017414,0.014510263,0.0019142277,-0.0076171774,-0.04032457,0.0075504095,0.0041449806,0.09173913,0.084864564,-0.02062722,0.034529425,0.02304333,-0.044400312,-0.06566368,-0.00074102695,-0.031531956,0.11871305,0.08960275,0.033261713,0.043287553,-0.05471069,-0.06298674
prod_009,0.04864047,0.04234028,-0.063204356,-0.037221275,0.0039674756,-0.047064804,-0.09748422,0.077958435,0.02678739,-0.03787203,-0.006752226,-0.022531731,-0.06136717,0.10414384,-0.22995713,-0.07066768,0.03980682,0.015625492,-0.070387706,0.07933253,-0.05475079,-0.09796579,-0.07728964,0.2180892,-0.034174107,-0.013541348,-0.053597182,0.048164427,0.012889274,0.009126859,-0.023577964,0.21481176,0.04694088,0.052529696,-0.068874896,-0.1705597,0.082349606,0.1722978,-0.08607301,0.0092530325,0.2117786,0.014990607,0.031862125,0.007735798,0.03212521,0.06330309,-0.06922414,0.13886453,-0.032172114,-0.0757154,0.004830832,0.14729548,-0.080726095,-0.07082716,0.07380493,-0.096059896,-0.020413838,-0.091961235,0.1163192,0.012558873,0.10217134,0.049354818,0.021059569,0.08905769,0.06173678,0.19014436,0.0027282585,-0.107707456,-0.066103,-0.037401542,-0.06110468,-0.22378546,0.060123425,0.0037823073,-0.08314725,0.015081773,-0.10125814,-0.040858056,-0.22439578,-0.051542453,0.114070244,0.0057487236,-0.006260773,-0.024084873,-0.048179023,0.10071101,-0.11143778,0.014492905,0.10408713,-0.14112706,-0.08473773,0.027425108,0.10260237,-0.06385371,-0.13132966,0.0017125303,-0.06562575,-0.09304159,0.07045197,0.06116755,0.0013299271,-0.01663477,0.0030728213,-0.08408694,0.22975957,-0.055752184,0.04176221,0.06478815,-0.042566724,-0.14545614,0.027413668,-0.025058834,0.011407152,-0.07596201,0.10272234,0.01106083,-0.060365457,-0.09159447,0.012655271,0.0831399,-0.042213254,0.03302824,0.18368144,-0.10513599,-0.041328054,-0.023055207,0.05867704,0.08847939
