product_1,product_2,similarity
prod_051,prod_089,0.9998915
prod_000,prod_020,0.9998136
prod_038,prod_078,0.9998041
prod_024,prod_068,0.99977565
prod_005,prod_024,0.99975944
prod_095,prod_099,0.9997416
prod_017,prod_068,0.99972117
prod_017,prod_024,0.99969
prod_017,prod_097,0.9996681
prod_005,prod_017,0.9996517
prod_032,prod_088,0.99961984
prod_024,prod_096,0.99954927
prod_044,prod_086,0.99954903
prod_051,prod_071,0.9995102
prod_005,prod_097,0.99947375
prod_048,prod_073,0.99947095
prod_005,prod_068,0.99945486
prod_028,prod_098,0.999384
prod_068,prod_096,0.99935
prod_021,prod_041,0.99933815
prod_006,prod_093,0.9993345
prod_057,prod_078,0.9992785
prod_071,prod_089,0.99927574
prod_017,prod_096,0.99927497
prod_002,prod_032,0.9992706
prod_068,prod_097,0.99916744
prod_048,prod_083,0.9991181
prod_024,prod_097,0.9991022
prod_006,prod_021,0.99909496
prod_021,prod_093,0.99909365
prod_028,prod_030,0.99907446
prod_038,prod_057,0.999068
prod_005,prod_096,0.9990613
prod_022,prod_084,0.99904335
prod_018,prod_052,0.9990164
prod_011,prod_084,0.9990054
prod_030,prod_098,0.99894214
prod_015,prod_042,0.99888754
prod_060,prod_096,0.9988774
prod_034,prod_070,0.9988569
prod_002,prod_088,0.9988205
prod_060,prod_068,0.9988204
prod_016,prod_033,0.99880606
prod_072,prod_085,0.99877685
prod_037,prod_058,0.9986528
prod_082,prod_085,0.9986288
prod_027,prod_083,0.998616
prod_007,prod_072,0.99860424
prod_000,prod_004,0.99857557
prod_002,prod_064,0.9985747
prod_080,prod_084,0.9985225
prod_024,prod_060,0.99851215
prod_019,prod_061,0.99850625
prod_072,prod_082,0.99844
prod_074,prod_086,0.99843585
prod_073,prod_083,0.99839395
prod_004,prod_020,0.9983851
prod_042,prod_082,0.9983654
prod_006,prod_041,0.99836487
prod_001,prod_043,0.99833524
prod_005,prod_081,0.9983073
prod_013,prod_075,0.9982724
prod_012,prod_077,0.99827075
prod_002,prod_033,0.9982465
prod_041,prod_043,0.99824303
prod_010,prod_025,0.9982387
prod_048,prod_058,0.99821967
prod_010,prod_046,0.99821746
prod_096,prod_097,0.9982161
prod_007,prod_008,0.99821395
prod_002,prod_092,0.9981943
prod_071,prod_074,0.99817824
prod_049,prod_057,0.9981519
prod_021,prod_043,0.9981442
prod_062,prod_080,0.9981215
prod_011,prod_022,0.9980822
prod_044,prod_074,0.99805593
prod_010,prod_019,0.99803865
prod_015,prod_082,0.9980012
prod_049,prod_078,0.9979781
prod_039,prod_087,0.9979489
prod_041,prod_093,0.99794126
prod_058,prod_066,0.9979346
prod_001,prod_055,0.99792546
prod_049,prod_062,0.9978557
prod_033,prod_064,0.9978347
prod_035,prod_059,0.99782354
prod_017,prod_060,0.9978172
prod_024,prod_081,0.9977971
prod_009,prod_089,0.99772596
prod_009,prod_051,0.9976301
prod_033,prod_092,0.99757737
prod_067,prod_085,0.9975682
prod_058,prod_073,0.9975635
prod_005,prod_060,0.99755454
prod_032,prod_064,0.99754876
prod_073,prod_077,0.99751925
prod_042,prod_085,0.9974999
prod_077,prod_092,0.9974781
prod_032,prod_092,0.9974255
prod_042,prod_072,0.9974029
prod_047,prod_077,0.99730736
prod_015,prod_085,0.9972415
prod_037,prod_048,0.99720997
prod_088,prod_092,0.9971939
prod_065,prod_098,0.9971143
prod_081,prod_096,0.99711
prod_028,prod_065,0.9970773
prod_045,prod_076,0.9970594
prod_067,prod_072,0.9970469
prod_009,prod_071,0.99690354
prod_032,prod_033,0.9968697
prod_038,prod_049,0.99679345
prod_022,prod_065,0.99677056
prod_068,prod_081,0.9967653
prod_027,prod_048,0.9967213
prod_011,prod_080,0.9966988
prod_007,prod_085,0.9966959
prod_017,prod_081,0.99668366
prod_025,prod_099,0.99665564
prod_008,prod_072,0.996638
prod_061,prod_090,0.9966232
prod_051,prod_074,0.9966177
prod_016,prod_064,0.9965103
prod_060,prod_097,0.9963905
prod_073,prod_092,0.99638426
prod_064,prod_088,0.9963544
