Timestamp,Prolific ID,Age Range,Column 3,Region (state you live in),"Dietary Restrictions (vegan, halal, gluten-free, etc.)", Which describes you best most weeks?,Pick your top 3 priorities when choosing fast food.,Top 5 chains you eat most? (list),Choose favorite fast food restaurant + favorite menu item,What was your first impression / memory of the food?,Any customizations?,Rate the crispiness. ,Rate the juiciness. ,Rate the greasiness/oiliness. ,Rate the saltiness.,Rate the spice heat.,Rate the sweetness.,How ‘fresh’ did it taste? ,Texture overall?,Flavor profile?,Aftertaste?,Was it made correctly?,Temperature?,Portion Size,"If this wasn’t available, what would you get instead? (chain + item)",Would you pair this with anything next time?,Does it beat your usual pick?,Where did you get it?,Where were you when deciding?,What’s the occasion?,Time of day?,Were you alone or with people?,What price did you see (roughly) for the main item?,Did you use a deal/coupon/points?,Was anything you wanted unavailable?,"Compared to your last fast-food order, did anything change in what you wanted today?",What was the main trigger for choosing this today?,Was this planned or spontaneous?,What time constraint were you under?,Did you switch from your usual chain or usual item today?,Why did you switch?,Did you choose this mainly because of a deal?,"If there were no deals anywhere, what would you have done?",Are you feeling more price sensitive than you were 2–4 weeks ago?,What caused that change?,Are you feeling more price sensitive than you were last year?,Are you currently trying to eat healthier than you were 2–4 weeks ago?,Are you currently trying to eat healthier than you were last year?,What’s driving that?,Did you recently start or stop something?,Are you more in explore mode or routine mode lately?,What’s driving that?,"If you liked this new item, what’s the reason you’d repeat it?",Did this order feel like an automatic/default decision? (0–10),What made it default?,"If you’ve been repeating a lot lately, why?",Did anyone influence your choice for order?,What would influence you to change your oder,Do your friends / roommates eating differently or trying new things change your order?,Which mode best describes the past 7 days?,What caused that mode?,Do you think this mode will continue next week?,Do you think this mode will continue next month?,Do you think this mode will continue next year?
12/17/2025 11:24:14,5cbcfce214b3cb0015f03471,45–54,Option 1,Tennessee,None,value-first,"taste, price, convenience","McDonald's, Popeye's, Taco Bell, Wendy's, Burger King",Popeye's,They have excellent chicken sandwiches.,None.,5,4,3,4,5,1,5,crispy,peppery,lingering,perfect,too hot,normal,Shrimp basket.,shake,no,in-store,commuting,dinner,9PM,family,6,none,no,cravings,craving,planned,none,chain,convenience,no,Paid full price.,Maybe,saving goal,No,No,No,new routine,travel,mixed,trying to save money,it feels like a treat,5,easy ordering,work schedule,No,New items.,No,treat,busy week,Maybe,Maybe,Maybe
12/17/2025 11:24:39,694201e1477bd35171c72445,35–44,Option 1,Nevada,none,routine eater,"taste, price, convenience","mcdonalds, shake shack, wendys, popeyes, jollibee",jollibee 3 piece fried chicken,juicy and crunchy,no mayo,5,5,4,3,4,2,4,crispy,peppery,clean,perfect,just right,normal,Mcdonalds big mac,fries,no,drive-thru,home,dinner,7:00 pm,alone,$12,app deal,no,cravings,was nearby,spontaneous,none,no,convenience,no,go to my usual spots,No,saving goal,No,Yes,Yes,fitness goal,gym routine,routine,comfort routine,it feels like a treat,2,reliable taste,convenience,No,none,Yes,health,goals,Yes,Yes,Yes
12/17/2025 11:25:15,5aebbea402d69a0001f1f487,45–54,Option 1,Ohio,None,convenience-first,"taste, price, convenience","ChickFila, Wendy's and Taco Bell",Chick Fila - Cobb salad with nuggets,Fresh and very tasty,,4,3,1,1,2,1,5,crispy,creamy,lingering,perfect,just right,large,Nuggets with sauce,,no,delivery,home,dinner,7pm,alone,10,none,no,cravings,craving,spontaneous,none,no,,no,,No,,No,Yes,Yes,weight goal,diet plan,mixed,boredom,,5,reliable taste,comfort,No,If it wasn't available,Maybe,convenience,busy week,Maybe,Maybe,No
12/17/2025 11:28:32,66568e65d6c28172319a8d9f,55–64,,Georgia ,None,routine eater,"taste, price, convenience","Taco Bell, Popeyes, Panda Express, Five guys, chick fil a ","Panda Express, honey chicken w Lomain",It was hot and good,Fried wontons ,5,4,1,2,1,3,5,tender,savory,sweet,perfect,just right,normal,"Panda Express, sesame chicken",other (type),no,delivery,home,lunch, 2pm,friends,14,none,no,cravings,craving,spontaneous,none,no,,no,Nothing different ,No,,No,No,Yes,weight goal,,routine,comfort routine,it’s a good value,4,easy ordering,,No,If craving items not available ,No,convenience,busy week,Maybe,Maybe,Maybe
12/17/2025 11:28:56,694223134f446e5010cda2e1,18–24,,Pennsylvania ,None,routine eater,"taste, price, health","Wendys, McDonald's, Popeyes, waffle house, Arby's ",Chicken sandwich ,I liked it,,5,3,2,2,1,1,2,crispy,savory,oily,perfect,just right,normal,McDonald's big mac,fries,no,pickup,commuting,lunch,2 pm,alone,10$,app deal,no,convenience,time pressure,planned,strong,item,deal,yes,Dollar menu,No,just trying to be disciplined,No,No,No,fitness goal,schedule change,routine,trying to save money,it’s a good value,3,consistent price,deal pattern,No,Price,No,budget,busy week,No,No,No
12/17/2025 11:29:27,66c0e61e88d109a1324701f3,35–44,,MT,,health-first,"taste, health, convenience","Five guys, jimmy johns ",Del taco /bean & cheese burrito ,Getting it in a kids meal with fries long ago ,,1,1,2,3,1,1,3,chewy,cheesy,clean,perfect,just right,small,Taco del sol fish supreme,fries,no,drive-thru,work,lunch,12,alone,13,none,no,convenience,craving,spontaneous,mild,no,,no,,Yes,prices went up,Yes,No,No,,,routine,comfort routine,it’s convenient,3,close location,,No,,No,health,goals,Yes,Yes,Yes
12/17/2025 11:56:03,66d0e8813c0a69291c362cba,18–24,,Florida,none,routine eater,"taste, price, speed","mcdonals
dunkin donuts
wendys
burger king
taco bell",mcdonalds + nuggets 40 pieces,cruncy fried fresh food,add cheese,5,5,5,5,5,5,5,crispy,smoky,clean,perfect,just right,large,wendys full meal any,dessert,yes,in-store,home,dinner,7:00 pm,family,8,app deal,no,cravings,craving,spontaneous,strong,chain,deal,yes,yes same deal,Yes,spending too much,No,Maybe,Yes,peer influence,medication/supplement,mixed,new items launching,it’s better than my default,5,reliable taste,comfort,No,myself,No,treat,payday,Yes,Yes,Yes
12/17/2025 12:03:32,694246d7a48dce20e1e8ee41,18–24,Option 1,Virginia ,Allergic to all nuts and seafood,convenience-first,"taste, price, convenience","Mcdonalds, Chick-fil-a, Chipotle, Panera Bread, Subway ",Mcdonalds+ Mcchicken ,At first I didn't like it because I saw a video about how Mcdonalds chicken was pink goo but when I ate it again it tasted good,I add buffalo sauce with it,1,1,2,1,3,1,1,chewy,creamy,lingering,perfect,just right,normal,Panera Bread+ Turkey bravo sandwich ,energy drink,yes,drive-thru,commuting,lunch,Around the afternoon,alone,About $7,none,no,health goals,craving,spontaneous,mild,chain,boredom,no,There wasn't any deals and I still ate it,Yes,income change,Yes,Yes,Yes,fitness goal,gym routine,routine,trying to save money,it’s better than my default,5,reliable taste,comfort,No,Nothing,No,budget,payday,Yes,Yes,Maybe
12/17/2025 12:18:29,65e41e88a96a10f5f38d608e,35–44,,Colorado ,None ,health-first,"taste, price, health","Chipotle, chic fil et, taco truck, Thai, Carl’s Jr ",Chipotle black bean burrito with asada with pico guacamole ,"Delicious, super filling, messy but worth it ",extra sauce,5,5,3,3,4,5,5,tender,savory,clean,perfect,just right,large,Asada bowl ,shake,no,pickup,home,social,4,friends,17,none,no,health goals,craving,spontaneous,none,no,health mode,no,Bought anyway ,No,saving goal,Yes,Yes,Yes,feeling sluggish,medication/supplement,explore,comfort routine,it’s better than my default,3,reliable taste,convenience,No,If they were out of something for my usual order ,No,health,busy week,Maybe,No,Maybe
12/17/2025 12:25:56,5ac4c730f69e940001d977e1,25–34,,Missouri ,None,routine eater,"taste, price, health","Chick Fil A, Burger King, Imos Pizza, Chipotle ",Chick fil a sandwich ,My mom took me to one as a child,no mayo,5,5,2,2,1,1,5,crispy,savory,clean,perfect,just right,normal,Chicken strips,fries,,drive-thru,work,lunch,12:00 pm,alone,5 dollars,none,no,cravings,was nearby,planned,mild,no,,no,Would still eat from here,No,,No,No,No,,,mixed,comfort routine,,,,,No,N/A,No,,,No,No,No
