date,week,brand,region,latent_preference,preference_drift,market_share_target,switching_rate,price_elasticity
2022-01-03,0,McDonalds,Northeast,0.5790983543736714,0.0,0.027713269265470058,0.5703076004290429,-1.4167227552888253
2022-01-03,0,McDonalds,South,0.46345951155093495,0.0,0.28741291316892137,0.36290162650219815,-1.9288765457898727
2022-01-03,0,McDonalds,Midwest,0.5820704259067727,0.0,0.044879181552355416,0.27197951974525986,-0.7982427450570128
2022-01-03,0,McDonalds,West,0.277573358178465,0.0,0.2724710438053291,0.32062222572817095,-1.093428921375788
2022-01-03,0,McDonalds,Southwest,0.8659788734005847,0.0,0.09761475647586786,0.06848935279224204,-1.7021857116976975
2022-01-03,0,BurgerKing,Northeast,0.17811603915176605,0.0,0.24450012132992213,0.1451965604342744,-1.2577573150678698
2022-01-03,0,BurgerKing,South,0.6946709335184563,0.0,0.07960538031602005,0.48906939996118465,-0.8865346316994134
2022-01-03,0,BurgerKing,Midwest,0.304826106239433,0.0,0.3165741719930878,0.5707999278834135,-0.8443823193970343
2022-01-03,0,BurgerKing,West,0.3691845024880552,0.0,0.10053500308910315,0.1221118822977808,-1.250572382001857
2022-01-03,0,BurgerKing,Southwest,0.656832295824711,0.0,0.018483657576278914,0.31990659288970436,-1.5421782048067114
2022-01-03,0,Wendys,Northeast,0.8772672385733898,0.0,0.1328241465142246,0.2864796801727,-0.5393861269422597
2022-01-03,0,Wendys,South,0.2263928401320756,0.0,0.06877335669035799,0.4254476061773757,-1.0049560835652607
2022-01-03,0,Wendys,Midwest,0.6271118077163326,0.0,0.08722314572501384,0.211067729489257,-1.3876437209805519
2022-01-03,0,Wendys,West,0.5678382700027405,0.0,0.04165760766371676,0.41158605271605975,-1.5793051636930213
2022-01-03,0,Wendys,Southwest,0.2789607348913306,0.0,0.19598595047373857,0.4491558671991043,-0.9033455254946567
2022-01-03,0,TacoBell,Northeast,0.7668067832769307,0.0,0.07730275216667797,0.26793124519078654,-1.6367248316093486
2022-01-03,0,TacoBell,South,0.3972146141876342,0.0,0.003979491119964669,0.41766802910529877,-1.7424350165394678
2022-01-03,0,TacoBell,Midwest,0.6468553352176785,0.0,0.11549220000432603,0.150108946801192,-1.2052491665568945
2022-01-03,0,TacoBell,West,0.5129859091688003,0.0,0.0446903396082485,0.47182917581289624,-1.5650189110337873
2022-01-03,0,TacoBell,Southwest,0.5695601654358988,0.0,0.10354646560386732,0.08879666648103435,-1.0566422826145774
2022-01-03,0,Subway,Northeast,0.46133870592298853,0.0,0.22149824057158357,0.4678561070838936,-1.8230919876886498
2022-01-03,0,Subway,South,0.7359937970107806,0.0,0.12968553551579612,0.4688915625596436,-1.0175883431490176
2022-01-03,0,Subway,Midwest,0.3029695726716787,0.0,0.21684813678008416,0.34844406917218707,-1.5750552080034468
2022-01-03,0,Subway,West,0.6192718606192118,0.0,0.24228889639333023,0.264080582240048,-1.999635598348231
2022-01-03,0,Subway,Southwest,0.43473876014503543,0.0,0.15684861764457372,0.1839016666596838,-1.8095959134887354
2022-01-03,0,KFC,Northeast,0.3769117342733651,0.0,0.10307124891057669,0.41065611985185674,-0.5995769332473588
2022-01-03,0,KFC,South,0.5447591545955046,0.0,0.08985526769638223,0.059614022899604026,-0.6989680413269632
2022-01-03,0,KFC,Midwest,0.3033687412141457,0.0,0.06211878057985756,0.18162748643710216,-1.6495864519456447
2022-01-03,0,KFC,West,0.3650444214801808,0.0,0.06522890237178519,0.37457060797482544,-0.8324421431817632
2022-01-03,0,KFC,Southwest,0.45430834568387607,0.0,0.2062792732454961,0.19135202294227086,-1.0871426102390387
2022-01-03,0,Dominos,Northeast,0.1681866609183576,0.0,0.05859345042386398,0.21214506472215292,-0.5436429328251958
2022-01-03,0,Dominos,South,0.2983246763858907,0.0,0.16903420222022753,0.2939671196096951,-1.4395915106989112
2022-01-03,0,Dominos,Midwest,0.46559226414406973,0.0,0.10019145266430377,0.27749119186196053,-0.977809081224243
2022-01-03,0,Dominos,West,0.01901269814600373,0.0,0.09196263428197264,0.08585787626857316,-1.9046964163641222
2022-01-03,0,Dominos,Southwest,0.09610220767682827,0.0,0.013614314134967706,0.23368255004054264,-1.4056289797753911
2022-01-03,0,PizzaHut,Northeast,0.4034040647090538,0.0,0.1344967708176812,0.33192020930403915,-0.5542735082177292
2022-01-03,0,PizzaHut,South,0.5572900784374657,0.0,0.17165385327232988,0.4309775708003919,-1.1915286883248193
2022-01-03,0,PizzaHut,Midwest,0.9035516138614877,0.0,0.05667293070097135,0.5405277045945869,-1.5681807449977332
2022-01-03,0,PizzaHut,West,0.39518860688754537,0.0,0.14116557278651456,0.36248858833460823,-1.8195935553070897
2022-01-03,0,PizzaHut,Southwest,0.1665405113971132,0.0,0.2076269648452098,0.03054343973064911,-0.9447074897277044
2022-01-10,1,McDonalds,Northeast,0.5532937832459507,-0.009194242342338035,0.027713269265470058,0.5703076004290429,-1.4167227552888253
2022-01-10,1,McDonalds,South,0.4623485268157275,0.015499344050175399,0.28741291316892137,0.36290162650219815,-1.9288765457898727
2022-01-10,1,McDonalds,Midwest,0.5576275641980276,-0.00783253292336237,0.044879181552355416,0.27197951974525986,-0.7982427450570128
2022-01-10,1,McDonalds,West,0.25774241423102545,-0.003220615162056756,0.2724710438053291,0.32062222572817095,-1.093428921375788
2022-01-10,1,McDonalds,Southwest,0.8575037167888987,0.008135172173696697,0.09761475647586786,0.06848935279224204,-1.7021857116976975
2022-01-10,1,BurgerKing,Northeast,0.17892205069843586,-0.012308643164339552,0.24450012132992213,0.1451965604342744,-1.2577573150678698
2022-01-10,1,BurgerKing,South,0.7100601875755069,0.002274599346041294,0.07960538031602005,0.48906939996118465,-0.8865346316994134
2022-01-10,1,BurgerKing,Midwest,0.33101218849326663,0.013071427542824282,0.3165741719930878,0.5707999278834135,-0.8443823193970343
2022-01-10,1,BurgerKing,West,0.36622432485345224,-0.016074832345612276,0.10053500308910315,0.1221118822977808,-1.250572382001857
2022-01-10,1,BurgerKing,Southwest,0.6717932891210434,0.001846338585323042,0.018483657576278914,0.31990659288970436,-1.5421782048067114
2022-01-10,1,Wendys,Northeast,0.8852236191742651,0.002598827942484235,0.1328241465142246,0.2864796801727,-0.5393861269422597
2022-01-10,1,Wendys,South,0.2395686215082397,0.0078182287177731,0.06877335669035799,0.4254476061773757,-1.0049560835652607
2022-01-10,1,Wendys,Midwest,0.6200998532659427,-0.01236950710878082,0.08722314572501384,0.211067729489257,-1.3876437209805519
2022-01-10,1,Wendys,West,0.5599912565302887,-0.013204566130842763,0.04165760766371676,0.41158605271605975,-1.5793051636930213
2022-01-10,1,Wendys,Southwest,0.2895377032058906,0.005219415656168977,0.19598595047373857,0.4491558671991043,-0.9033455254946567
2022-01-10,1,TacoBell,Northeast,0.7740378241405924,0.0029698467323318605,0.07730275216667797,0.26793124519078654,-1.6367248316093486
2022-01-10,1,TacoBell,South,0.40398073682242286,0.0025049285034587664,0.003979491119964669,0.41766802910529877,-1.7424350165394678
2022-01-10,1,TacoBell,Midwest,0.6545810114439781,0.0034644820949697587,0.11549220000432603,0.150108946801192,-1.2052491665568945
2022-01-10,1,TacoBell,West,0.5104468560843453,-0.006800247215784908,0.0446903396082485,0.47182917581289624,-1.5650189110337873
2022-01-10,1,TacoBell,Southwest,0.5761438965388387,0.0023225369716100355,0.10354646560386732,0.08879666648103435,-1.0566422826145774
2022-01-10,1,Subway,Northeast,0.44841225129260404,0.0029307247329868127,0.22149824057158357,0.4678561070838936,-1.8230919876886498
2022-01-10,1,Subway,South,0.7129931034671455,-0.007143514180263678,0.12968553551579612,0.4688915625596436,-1.0175883431490176
2022-01-10,1,Subway,Midwest,0.3057701384197549,0.018657745111447566,0.21684813678008416,0.34844406917218707,-1.5750552080034468
2022-01-10,1,Subway,West,0.6081530104649583,0.004738329209117875,0.24228889639333023,0.264080582240048,-1.999635598348231
2022-01-10,1,Subway,Southwest,0.4069685458096376,-0.011913034972026487,0.15684861764457372,0.1839016666596838,-1.8095959134887354
2022-01-10,1,KFC,Northeast,0.3743955749753906,0.006565536086338297,0.10307124891057669,0.41065611985185674,-0.5995769332473588
2022-01-10,1,KFC,South,0.5259306425089187,-0.009746816702273215,0.08985526769638223,0.059614022899604026,-0.6989680413269632
2022-01-10,1,KFC,Midwest,0.3021578918672574,0.00787084603742452,0.06211878057985756,0.18162748643710216,-1.6495864519456447
2022-01-10,1,KFC,West,0.36754868188594203,0.011585955790074041,0.06522890237178519,0.37457060797482544,-0.8324421431817632
2022-01-10,1,KFC,Southwest,0.43701982711604614,-0.008206823183517105,0.2062792732454961,0.19135202294227086,-1.0871426102390387
2022-01-10,1,Dominos,Northeast,0.18440869919412256,0.009633761292443218,0.05859345042386398,0.21214506472215292,-0.5436429328251958
2022-01-10,1,Dominos,South,0.30904076263857744,0.004127809269364983,0.16903420222022753,0.2939671196096951,-1.4395915106989112
2022-01-10,1,Dominos,Midwest,0.48040114272733636,0.0082206015999449,0.10019145266430377,0.27749119186196053,-0.977809081224243
2022-01-10,1,Dominos,West,0.04456890495586498,0.018967929826539474,0.09196263428197264,0.08585787626857316,-1.9046964163641222
2022-01-10,1,Dominos,Southwest,0.10023660350012133,-0.002453881160028705,0.013614314134967706,0.23368255004054264,-1.4056289797753911
2022-01-10,1,PizzaHut,Northeast,0.4136296777963724,-0.007537361643574896,0.1344967708176812,0.33192020930403915,-0.5542735082177292
2022-01-10,1,PizzaHut,South,0.5661579088721038,-0.008895144296255233,0.17165385327232988,0.4309775708003919,-1.1915286883248193
2022-01-10,1,PizzaHut,Midwest,0.9131564857427268,-0.008158102849654384,0.05667293070097135,0.5405277045945869,-1.5681807449977332
