context_id,time_of_day,hour,location,occasion,price_shown
ctx_000,evening,19,store,social,4.13
ctx_001,late_night,0,gym,morning,1.81
ctx_002,late_night,23,store,social,1.13
ctx_003,evening,19,cafe,social,3.87
ctx_004,late_night,0,home,morning,3.73
ctx_005,late_night,4,cafe,post_gym,5.1
ctx_006,morning,7,work,post_gym,1.98
ctx_007,afternoon,12,cafe,evening,2.89
ctx_008,evening,18,work,post_gym,2.68
ctx_009,morning,7,gym,social,4.41
ctx_010,late_night,1,bar,work,3.48
ctx_011,evening,20,work,morning,5.68
ctx_012,late_night,23,cafe,work,5.02
ctx_013,late_night,3,work,morning,4.75
ctx_014,late_night,2,home,post_gym,3.06
ctx_015,evening,17,home,evening,3.9
ctx_016,late_night,22,outdoor,morning,2.19
ctx_017,late_night,22,gym,evening,4.77
ctx_018,morning,8,outdoor,work,3.67
ctx_019,evening,19,home,afternoon,2.49
ctx_020,evening,18,home,late_night,1.05
ctx_021,morning,8,bar,late_night,2.77
ctx_022,afternoon,13,store,late_night,3.87
ctx_023,afternoon,14,gym,morning,2.47
ctx_024,evening,19,bar,morning,4.76
ctx_025,late_night,22,home,evening,1.46
ctx_026,morning,9,work,evening,5.98
ctx_027,late_night,4,bar,evening,3.73
ctx_028,morning,10,work,evening,1.71
ctx_029,morning,9,work,late_night,5.33
ctx_030,morning,5,store,afternoon,4.5
ctx_031,morning,9,home,social,5.46
ctx_032,late_night,1,gym,morning,1.42
ctx_033,evening,18,gym,work,5.4
ctx_034,afternoon,16,store,evening,5.93
ctx_035,late_night,3,cafe,afternoon,4.54
ctx_036,evening,18,gym,late_night,3.79
ctx_037,morning,9,work,post_gym,1.56
ctx_038,late_night,2,gym,morning,3.03
ctx_039,evening,19,cafe,morning,5.11
ctx_040,morning,6,home,post_gym,3.92
ctx_041,afternoon,16,home,work,2.12
ctx_042,morning,5,work,late_night,5.89
ctx_043,afternoon,12,gym,evening,5.46
ctx_044,late_night,21,gym,post_gym,5.6
ctx_045,late_night,3,bar,post_gym,5.85
ctx_046,evening,17,store,work,2.08
ctx_047,afternoon,14,store,work,4.14
ctx_048,late_night,21,bar,evening,1.23
ctx_049,morning,11,work,afternoon,3.28
ctx_050,evening,20,work,late_night,4.23
ctx_051,morning,7,work,late_night,3.92
ctx_052,late_night,4,home,late_night,5.93
ctx_053,late_night,21,store,work,2.4
ctx_054,evening,20,cafe,morning,4.42
ctx_055,afternoon,12,outdoor,post_gym,5.11
ctx_056,evening,17,bar,morning,4.07
ctx_057,late_night,1,work,afternoon,5.33
ctx_058,afternoon,12,gym,evening,3.06
ctx_059,late_night,21,home,social,5.94
ctx_060,afternoon,16,bar,morning,4.75
ctx_061,late_night,21,bar,post_gym,3.85
ctx_062,late_night,0,work,work,3.07
ctx_063,late_night,0,gym,evening,5.32
ctx_064,afternoon,16,gym,evening,4.75
ctx_065,late_night,2,gym,evening,4.84
ctx_066,late_night,4,work,social,2.89
ctx_067,evening,20,outdoor,work,1.65
ctx_068,evening,18,gym,morning,2.04
ctx_069,late_night,0,home,social,2.79
ctx_070,morning,7,store,social,3.49
ctx_071,late_night,21,outdoor,post_gym,3.6
ctx_072,morning,11,home,afternoon,5.84
ctx_073,afternoon,16,store,evening,3.1
ctx_074,late_night,4,gym,afternoon,4.52
ctx_075,evening,18,store,afternoon,4.09
ctx_076,late_night,1,outdoor,social,3.95
ctx_077,afternoon,14,bar,post_gym,5.52
ctx_078,evening,19,home,afternoon,3.25
ctx_079,afternoon,14,cafe,afternoon,4.11
ctx_080,evening,18,home,morning,4.98
ctx_081,morning,9,home,social,4.84
ctx_082,evening,19,gym,social,4.1
ctx_083,late_night,1,gym,afternoon,4.17
ctx_084,afternoon,15,bar,post_gym,3.69
ctx_085,late_night,22,store,evening,3.0
ctx_086,afternoon,15,cafe,late_night,2.73
ctx_087,late_night,2,bar,post_gym,4.34
ctx_088,evening,17,gym,social,2.12
ctx_089,evening,20,gym,social,2.39
ctx_090,late_night,21,gym,afternoon,1.6
ctx_091,morning,8,cafe,social,5.47
ctx_092,afternoon,16,outdoor,social,4.45
ctx_093,morning,8,work,work,3.41
ctx_094,late_night,21,store,afternoon,1.78
ctx_095,afternoon,15,gym,work,2.38
ctx_096,late_night,0,home,post_gym,1.92
ctx_097,afternoon,14,store,evening,5.62
ctx_098,afternoon,13,work,late_night,2.84
ctx_099,late_night,23,work,morning,1.31
