log_id,timestamp,product_id,segment_id,context_id,preference_value,rating,liked
log_0000,2024-01-14 03:00:00,prod_010,seg_01,ctx_041,0.441,3,0
log_0001,2024-01-11 21:00:00,prod_028,seg_00,ctx_090,0.768,4,1
log_0002,2024-01-21 05:00:00,prod_010,seg_01,ctx_026,0.307,2,0
log_0003,2024-01-21 11:00:00,prod_043,seg_04,ctx_005,0.541,3,0
log_0004,2024-01-07 01:00:00,prod_018,seg_03,ctx_057,0.604,3,1
log_0005,2024-01-14 14:00:00,prod_038,seg_03,ctx_022,0.362,2,0
log_0006,2024-01-03 04:00:00,prod_004,seg_00,ctx_066,0.539,3,0
log_0007,2024-01-17 02:00:00,prod_047,seg_04,ctx_084,0.658,4,1
log_0008,2024-01-22 06:00:00,prod_033,seg_02,ctx_083,0.543,3,0
log_0009,2024-01-25 12:00:00,prod_017,seg_00,ctx_024,0.539,3,0
log_0010,2024-01-11 19:00:00,prod_029,seg_03,ctx_053,0.478,3,0
log_0011,2024-01-24 21:00:00,prod_023,seg_02,ctx_027,0.733,4,1
log_0012,2024-01-21 17:00:00,prod_029,seg_01,ctx_078,0.597,3,0
log_0013,2024-01-02 04:00:00,prod_017,seg_03,ctx_089,0.732,4,1
log_0014,2024-01-03 16:00:00,prod_022,seg_02,ctx_091,0.32,2,0
log_0015,2024-01-21 01:00:00,prod_010,seg_04,ctx_056,0.683,4,1
log_0016,2024-01-19 04:00:00,prod_004,seg_04,ctx_095,0.776,4,1
log_0017,2024-01-14 23:00:00,prod_030,seg_01,ctx_027,0.782,4,1
log_0018,2024-01-02 08:00:00,prod_015,seg_03,ctx_044,0.665,4,1
log_0019,2024-01-13 17:00:00,prod_029,seg_04,ctx_086,0.889,5,1
log_0020,2024-01-24 19:00:00,prod_021,seg_02,ctx_005,0.623,3,1
log_0021,2024-01-27 11:00:00,prod_043,seg_03,ctx_008,0.484,3,0
log_0022,2024-01-02 07:00:00,prod_030,seg_00,ctx_048,0.346,2,0
log_0023,2024-01-10 14:00:00,prod_021,seg_03,ctx_030,0.445,3,0
log_0024,2024-01-29 16:00:00,prod_005,seg_04,ctx_090,0.834,4,1
log_0025,2024-01-11 17:00:00,prod_048,seg_02,ctx_081,0.602,3,1
log_0026,2024-01-09 21:00:00,prod_035,seg_00,ctx_030,0.551,3,0
log_0027,2024-01-09 14:00:00,prod_028,seg_00,ctx_033,0.569,3,0
log_0028,2024-01-17 07:00:00,prod_024,seg_03,ctx_054,0.496,3,0
log_0029,2024-01-29 06:00:00,prod_033,seg_03,ctx_040,0.706,4,1
log_0030,2024-01-19 22:00:00,prod_011,seg_03,ctx_087,0.651,4,1
log_0031,2024-01-12 21:00:00,prod_000,seg_02,ctx_043,0.95,5,1
log_0032,2024-01-03 07:00:00,prod_010,seg_01,ctx_013,0.392,3,0
log_0033,2024-01-02 19:00:00,prod_004,seg_00,ctx_058,0.511,3,0
log_0034,2024-01-12 23:00:00,prod_035,seg_01,ctx_094,0.798,4,1
log_0035,2024-01-15 17:00:00,prod_016,seg_03,ctx_001,0.698,4,1
log_0036,2024-01-20 22:00:00,prod_014,seg_01,ctx_001,0.483,3,0
log_0037,2024-01-25 22:00:00,prod_022,seg_02,ctx_099,0.412,3,0
log_0038,2024-01-26 00:00:00,prod_026,seg_01,ctx_036,0.547,3,0
log_0039,2024-01-16 18:00:00,prod_026,seg_01,ctx_086,0.885,5,1
log_0040,2024-01-03 18:00:00,prod_000,seg_03,ctx_055,0.324,2,0
log_0041,2024-01-04 22:00:00,prod_046,seg_04,ctx_021,0.328,2,0
log_0042,2024-01-06 21:00:00,prod_022,seg_04,ctx_028,0.33,2,0
log_0043,2024-01-30 11:00:00,prod_007,seg_03,ctx_057,0.567,3,0
log_0044,2024-01-22 05:00:00,prod_022,seg_03,ctx_079,0.398,3,0
log_0045,2024-01-28 07:00:00,prod_021,seg_04,ctx_013,0.675,4,1
log_0046,2024-01-12 02:00:00,prod_007,seg_04,ctx_088,0.431,3,0
log_0047,2024-01-19 00:00:00,prod_021,seg_02,ctx_077,0.566,3,0
log_0048,2024-01-14 21:00:00,prod_043,seg_00,ctx_037,0.43,3,0
log_0049,2024-01-17 08:00:00,prod_016,seg_03,ctx_058,0.526,3,0
log_0050,2024-01-22 23:00:00,prod_034,seg_01,ctx_053,0.715,4,1
log_0051,2024-01-17 00:00:00,prod_046,seg_00,ctx_059,0.661,4,1
log_0052,2024-01-25 19:00:00,prod_047,seg_03,ctx_029,0.532,3,0
log_0053,2024-01-29 06:00:00,prod_012,seg_01,ctx_019,0.856,4,1
log_0054,2024-01-15 02:00:00,prod_011,seg_00,ctx_074,0.707,4,1
log_0055,2024-01-03 04:00:00,prod_039,seg_01,ctx_062,0.749,4,1
log_0056,2024-01-16 07:00:00,prod_048,seg_03,ctx_071,0.605,3,1
log_0057,2024-01-19 21:00:00,prod_044,seg_03,ctx_056,0.874,4,1
log_0058,2024-01-08 22:00:00,prod_043,seg_01,ctx_058,0.613,3,1
log_0059,2024-01-08 02:00:00,prod_029,seg_03,ctx_004,0.453,3,0
log_0060,2024-01-29 17:00:00,prod_035,seg_01,ctx_043,0.592,3,0
log_0061,2024-01-19 20:00:00,prod_033,seg_00,ctx_031,0.61,3,1
log_0062,2024-01-09 12:00:00,prod_015,seg_02,ctx_026,0.564,3,0
log_0063,2024-01-30 17:00:00,prod_048,seg_00,ctx_022,0.326,2,0
log_0064,2024-01-10 13:00:00,prod_043,seg_01,ctx_027,0.612,3,1
log_0065,2024-01-09 06:00:00,prod_039,seg_03,ctx_048,0.507,3,0
log_0066,2024-01-20 09:00:00,prod_022,seg_01,ctx_060,0.568,3,0
log_0067,2024-01-24 02:00:00,prod_027,seg_00,ctx_013,0.381,3,0
log_0068,2024-01-20 06:00:00,prod_047,seg_02,ctx_066,0.925,5,1
log_0069,2024-01-29 03:00:00,prod_035,seg_02,ctx_026,0.64,4,1
log_0070,2024-01-01 15:00:00,prod_036,seg_03,ctx_056,0.486,3,0
log_0071,2024-01-24 19:00:00,prod_001,seg_02,ctx_001,0.694,4,1
log_0072,2024-01-14 09:00:00,prod_024,seg_01,ctx_083,0.859,4,1
log_0073,2024-01-08 13:00:00,prod_008,seg_03,ctx_073,0.438,3,0
log_0074,2024-01-15 03:00:00,prod_038,seg_02,ctx_058,0.719,4,1
log_0075,2024-01-29 16:00:00,prod_016,seg_04,ctx_074,0.615,3,1
log_0076,2024-01-15 02:00:00,prod_015,seg_02,ctx_060,0.882,5,1
log_0077,2024-01-01 12:00:00,prod_006,seg_03,ctx_022,0.654,4,1
log_0078,2024-01-14 05:00:00,prod_009,seg_01,ctx_029,0.425,3,0
log_0079,2024-01-20 12:00:00,prod_012,seg_00,ctx_083,0.528,3,0
log_0080,2024-01-02 04:00:00,prod_010,seg_04,ctx_050,0.682,4,1
log_0081,2024-01-26 14:00:00,prod_049,seg_00,ctx_057,0.612,3,1
log_0082,2024-01-11 10:00:00,prod_016,seg_03,ctx_020,0.739,4,1
log_0083,2024-01-11 00:00:00,prod_023,seg_02,ctx_077,0.551,3,0
log_0084,2024-01-17 16:00:00,prod_041,seg_01,ctx_043,0.844,4,1
log_0085,2024-01-02 07:00:00,prod_014,seg_02,ctx_062,0.983,5,1
log_0086,2024-01-08 06:00:00,prod_042,seg_00,ctx_040,0.499,3,0
log_0087,2024-01-01 22:00:00,prod_048,seg_00,ctx_046,0.434,3,0
log_0088,2024-01-30 05:00:00,prod_010,seg_00,ctx_092,0.423,3,0
log_0089,2024-01-20 16:00:00,prod_044,seg_00,ctx_019,0.667,4,1
log_0090,2024-01-15 06:00:00,prod_047,seg_04,ctx_022,0.796,4,1
log_0091,2024-01-07 16:00:00,prod_003,seg_00,ctx_099,0.777,4,1
log_0092,2024-01-07 11:00:00,prod_039,seg_00,ctx_012,0.9,5,1
log_0093,2024-01-26 23:00:00,prod_036,seg_03,ctx_085,0.854,4,1
log_0094,2024-01-15 13:00:00,prod_037,seg_03,ctx_039,0.394,3,0
log_0095,2024-01-30 11:00:00,prod_029,seg_01,ctx_039,0.747,4,1
log_0096,2024-01-20 09:00:00,prod_008,seg_03,ctx_002,0.314,2,0
log_0097,2024-01-06 23:00:00,prod_029,seg_00,ctx_061,0.775,4,1
log_0098,2024-01-11 23:00:00,prod_035,seg_01,ctx_023,0.502,3,0
log_0099,2024-01-06 12:00:00,prod_040,seg_00,ctx_043,0.668,4,1
log_0100,2024-01-01 00:00:00,prod_033,seg_03,ctx_084,0.742,4,1
log_0101,2024-01-01 01:00:00,prod_002,seg_00,ctx_032,0.676,4,1
log_0102,2024-01-05 04:00:00,prod_034,seg_01,ctx_063,0.327,2,0
log_0103,2024-01-12 19:00:00,prod_018,seg_04,ctx_012,0.543,3,0
log_0104,2024-01-05 16:00:00,prod_014,seg_04,ctx_010,0.662,4,1
log_0105,2024-01-22 13:00:00,prod_036,seg_02,ctx_023,0.475,3,0
log_0106,2024-01-09 06:00:00,prod_030,seg_00,ctx_017,0.743,4,1
log_0107,2024-01-10 23:00:00,prod_006,seg_02,ctx_009,0.448,3,0
log_0108,2024-01-22 09:00:00,prod_028,seg_02,ctx_095,0.36,2,0
log_0109,2024-01-26 17:00:00,prod_013,seg_04,ctx_071,0.741,4,1
log_0110,2024-01-19 21:00:00,prod_017,seg_00,ctx_030,0.868,4,1
log_0111,2024-01-25 05:00:00,prod_040,seg_01,ctx_031,0.778,4,1
log_0112,2024-01-12 14:00:00,prod_016,seg_00,ctx_086,0.523,3,0
log_0113,2024-01-15 03:00:00,prod_033,seg_04,ctx_069,0.458,3,0
log_0114,2024-01-18 23:00:00,prod_009,seg_01,ctx_097,0.559,3,0
log_0115,2024-01-27 04:00:00,prod_016,seg_03,ctx_063,0.788,4,1
log_0116,2024-01-22 18:00:00,prod_040,seg_03,ctx_035,0.71,4,1
log_0117,2024-01-29 05:00:00,prod_046,seg_00,ctx_052,0.334,2,0
log_0118,2024-01-15 07:00:00,prod_042,seg_03,ctx_075,0.888,5,1
log_0119,2024-01-15 23:00:00,prod_034,seg_02,ctx_057,0.538,3,0
log_0120,2024-01-25 03:00:00,prod_005,seg_01,ctx_079,0.502,3,0
log_0121,2024-01-25 09:00:00,prod_039,seg_00,ctx_090,0.381,3,0
log_0122,2024-01-11 20:00:00,prod_038,seg_00,ctx_006,0.654,4,1
log_0123,2024-01-27 10:00:00,prod_046,seg_03,ctx_081,0.435,3,0
log_0124,2024-01-24 15:00:00,prod_044,seg_04,ctx_069,0.389,3,0
log_0125,2024-01-06 07:00:00,prod_018,seg_04,ctx_068,0.513,3,0
log_0126,2024-01-23 10:00:00,prod_023,seg_00,ctx_087,0.859,4,1
log_0127,2024-01-05 00:00:00,prod_035,seg_04,ctx_077,0.644,4,1
log_0128,2024-01-08 15:00:00,prod_049,seg_02,ctx_066,0.843,4,1
log_0129,2024-01-30 15:00:00,prod_009,seg_02,ctx_002,0.45,3,0
log_0130,2024-01-06 07:00:00,prod_049,seg_01,ctx_049,0.842,4,1
log_0131,2024-01-26 13:00:00,prod_015,seg_04,ctx_088,0.464,3,0
log_0132,2024-01-05 19:00:00,prod_031,seg_01,ctx_026,0.394,3,0
log_0133,2024-01-24 14:00:00,prod_036,seg_02,ctx_031,0.732,4,1
log_0134,2024-01-10 07:00:00,prod_019,seg_01,ctx_027,0.64,4,1
log_0135,2024-01-14 21:00:00,prod_040,seg_04,ctx_087,0.779,4,1
log_0136,2024-01-19 19:00:00,prod_042,seg_01,ctx_025,0.333,2,0
log_0137,2024-01-20 21:00:00,prod_040,seg_04,ctx_004,0.63,4,1
log_0138,2024-01-17 06:00:00,prod_034,seg_00,ctx_074,0.32,2,0
log_0139,2024-01-30 09:00:00,prod_040,seg_02,ctx_070,0.879,5,1
log_0140,2024-01-10 22:00:00,prod_027,seg_03,ctx_023,0.72,4,1
log_0141,2024-01-20 03:00:00,prod_031,seg_03,ctx_023,0.729,4,1
log_0142,2024-01-29 09:00:00,prod_028,seg_00,ctx_041,0.31,2,0
log_0143,2024-01-05 14:00:00,prod_022,seg_00,ctx_027,0.601,3,1
log_0144,2024-01-29 15:00:00,prod_008,seg_00,ctx_033,0.537,3,0
log_0145,2024-01-18 03:00:00,prod_018,seg_01,ctx_004,0.35,2,0
log_0146,2024-01-30 06:00:00,prod_022,seg_04,ctx_097,0.724,4,1
log_0147,2024-01-24 06:00:00,prod_020,seg_01,ctx_096,0.348,2,0
log_0148,2024-01-16 09:00:00,prod_000,seg_03,ctx_086,0.37,2,0
log_0149,2024-01-20 15:00:00,prod_023,seg_02,ctx_074,0.498,3,0
log_0150,2024-01-13 22:00:00,prod_013,seg_00,ctx_086,0.31,2,0
log_0151,2024-01-14 20:00:00,prod_037,seg_01,ctx_080,0.311,2,0
log_0152,2024-01-21 13:00:00,prod_042,seg_00,ctx_022,0.868,4,1
log_0153,2024-01-24 14:00:00,prod_033,seg_00,ctx_023,0.39,3,0
log_0154,2024-01-25 09:00:00,prod_044,seg_00,ctx_081,0.757,4,1
