agent_id,segment_id,timestamp,product_id,product_category,context_id,intent_value,time_of_day
agent_22,seg_01,2024-01-01 08:00:00,prod_047,tea,ctx_042,0.8075379765900733,morning
agent_18,seg_00,2024-01-01 08:00:00,prod_003,water_enhanced,ctx_075,0.5952212791607896,morning
agent_44,seg_01,2024-01-01 08:00:00,prod_047,tea,ctx_059,0.7162458577053095,morning
agent_10,seg_01,2024-01-01 08:00:00,prod_046,tea,ctx_026,0.6460040733412693,morning
agent_43,seg_03,2024-01-01 08:00:00,prod_018,water_enhanced,ctx_013,0.5932003122571986,morning
agent_9,seg_04,2024-01-01 12:00:00,prod_005,energy_drink,ctx_001,0.6097766534268569,afternoon
agent_6,seg_02,2024-01-01 12:00:00,prod_005,energy_drink,ctx_092,0.7850668160068539,afternoon
agent_8,seg_01,2024-01-01 12:00:00,prod_008,tea,ctx_017,0.6485727133540672,afternoon
agent_21,seg_01,2024-01-01 12:00:00,prod_009,coffee_drink,ctx_065,0.7500904593588317,afternoon
agent_35,seg_00,2024-01-01 12:00:00,prod_039,water_enhanced,ctx_002,0.7059634923866744,afternoon
agent_8,seg_01,2024-01-01 12:00:00,prod_037,tea,ctx_052,0.6244540447669,afternoon
agent_8,seg_01,2024-01-01 15:00:00,prod_034,coffee_drink,ctx_007,0.5625916204053123,evening
agent_26,seg_04,2024-01-01 15:00:00,prod_019,energy_drink,ctx_060,0.652489676330642,evening
agent_41,seg_03,2024-01-01 15:00:00,prod_007,tea,ctx_025,0.7701795928351609,evening
agent_47,seg_02,2024-01-01 15:00:00,prod_041,sports_drink,ctx_072,0.6431258762410534,evening
agent_29,seg_04,2024-01-01 15:00:00,prod_002,soda,ctx_053,0.6498325945411043,evening
agent_15,seg_01,2024-01-01 18:00:00,prod_025,tea,ctx_017,0.6661088431894591,evening
agent_7,seg_03,2024-01-02 12:00:00,prod_025,tea,ctx_099,0.7172998601597921,afternoon
agent_18,seg_00,2024-01-02 12:00:00,prod_012,water_enhanced,ctx_074,0.6153223439720273,afternoon
agent_39,seg_00,2024-01-02 12:00:00,prod_006,water_enhanced,ctx_075,0.7791360752760614,afternoon
agent_11,seg_03,2024-01-02 12:00:00,prod_012,water_enhanced,ctx_050,0.5329304896044718,afternoon
agent_13,seg_04,2024-01-02 12:00:00,prod_043,soda,ctx_021,0.5339852236427096,afternoon
agent_33,seg_04,2024-01-02 12:00:00,prod_017,energy_drink,ctx_042,0.7503508127906964,afternoon
agent_3,seg_01,2024-01-02 15:00:00,prod_046,tea,ctx_098,0.694233163882672,evening
agent_20,seg_04,2024-01-02 15:00:00,prod_035,energy_drink,ctx_025,0.5279454820594429,evening
agent_27,seg_02,2024-01-02 15:00:00,prod_042,sports_drink,ctx_059,0.7077615952033092,evening
agent_1,seg_01,2024-01-02 15:00:00,prod_046,tea,ctx_091,0.7216667876923446,evening
agent_33,seg_04,2024-01-02 15:00:00,prod_019,energy_drink,ctx_051,0.649489590235953,evening
agent_44,seg_01,2024-01-02 18:00:00,prod_045,coffee_drink,ctx_013,0.5375620812522435,evening
agent_43,seg_03,2024-01-02 18:00:00,prod_018,water_enhanced,ctx_069,0.6618001848437639,evening
agent_15,seg_01,2024-01-02 18:00:00,prod_025,tea,ctx_046,0.7419700494989638,evening
agent_35,seg_00,2024-01-02 18:00:00,prod_012,water_enhanced,ctx_030,0.5864009433470414,evening
agent_28,seg_02,2024-01-02 18:00:00,prod_017,energy_drink,ctx_030,0.5877487499737752,evening
agent_46,seg_00,2024-01-02 18:00:00,prod_042,sports_drink,ctx_067,0.7318076341584006,evening
agent_33,seg_04,2024-01-03 08:00:00,prod_029,energy_drink,ctx_033,0.5948138171156825,morning
agent_8,seg_01,2024-01-03 08:00:00,prod_025,tea,ctx_081,0.8482998524334325,morning
agent_49,seg_02,2024-01-03 08:00:00,prod_042,sports_drink,ctx_053,0.4703730039076036,morning
agent_5,seg_04,2024-01-03 08:00:00,prod_005,energy_drink,ctx_033,0.6294221347039585,morning
agent_16,seg_00,2024-01-03 08:00:00,prod_006,water_enhanced,ctx_070,0.6651327422012259,morning
agent_40,seg_00,2024-01-03 12:00:00,prod_015,water_enhanced,ctx_063,0.6829309119025748,afternoon
agent_32,seg_01,2024-01-03 12:00:00,prod_010,coffee_drink,ctx_042,0.6087522165030148,afternoon
agent_17,seg_03,2024-01-03 12:00:00,prod_018,water_enhanced,ctx_058,0.5823255606873088,afternoon
agent_20,seg_04,2024-01-03 12:00:00,prod_002,soda,ctx_088,0.5872458880006679,afternoon
agent_21,seg_01,2024-01-03 12:00:00,prod_037,tea,ctx_048,0.6221232916540087,afternoon
agent_3,seg_01,2024-01-03 12:00:00,prod_034,coffee_drink,ctx_025,0.755243966838674,afternoon
agent_13,seg_04,2024-01-03 15:00:00,prod_027,energy_drink,ctx_049,0.6944224843846291,evening
agent_23,seg_00,2024-01-03 18:00:00,prod_013,sports_drink,ctx_006,0.5393292928125614,evening
agent_20,seg_04,2024-01-03 18:00:00,prod_043,soda,ctx_056,0.47916360313197337,evening
agent_49,seg_02,2024-01-03 20:00:00,prod_017,energy_drink,ctx_091,0.7371653295529691,night
agent_33,seg_04,2024-01-03 20:00:00,prod_035,energy_drink,ctx_047,0.6049308289745071,night
agent_42,seg_00,2024-01-03 20:00:00,prod_036,sports_drink,ctx_021,0.5527254508484903,night
agent_38,seg_01,2024-01-04 08:00:00,prod_008,tea,ctx_077,0.7417070283864904,morning
agent_27,seg_02,2024-01-04 08:00:00,prod_021,sports_drink,ctx_066,0.6064204638458318,morning
agent_49,seg_02,2024-01-04 12:00:00,prod_013,sports_drink,ctx_089,0.6172626264288826,afternoon
agent_16,seg_00,2024-01-04 12:00:00,prod_026,water_enhanced,ctx_066,0.5564311941108416,afternoon
agent_48,seg_02,2024-01-04 12:00:00,prod_042,sports_drink,ctx_074,0.6834451702726085,afternoon
agent_40,seg_00,2024-01-04 12:00:00,prod_028,sports_drink,ctx_004,0.8312536440162626,afternoon
