agent_id,segment_id,timestamp,time_step,product_id,context_id,intent_value,outcome,product_category,price,season,inflation_regime
0,seg_01,2024-01-01,0,prod_019,ctx_010,0.6547240018844604,0.6547240018844604,energy_drink,2.44,winter,normal
1,seg_04,2024-01-01,0,prod_032,ctx_090,0.5825411081314087,0.5825411081314087,sports_drink,4.47,winter,normal
2,seg_04,2024-01-01,0,prod_025,ctx_071,0.6320250630378723,0.6320250630378723,tea,2.29,winter,normal
3,seg_00,2024-01-01,0,prod_032,ctx_090,0.5740141272544861,0.5740141272544861,sports_drink,4.47,winter,normal
4,seg_00,2024-01-01,0,prod_017,ctx_052,0.5615227818489075,0.5615227818489075,energy_drink,2.64,winter,normal
5,seg_02,2024-01-01,0,prod_045,ctx_061,0.627956748008728,0.627956748008728,coffee_drink,3.31,winter,normal
6,seg_00,2024-01-01,0,prod_045,ctx_016,0.5431186556816101,0.5431186556816101,coffee_drink,3.31,winter,normal
7,seg_00,2024-01-01,0,prod_039,ctx_066,0.5315962433815002,0.5315962433815002,water_enhanced,3.94,winter,normal
8,seg_00,2024-01-01,0,prod_003,ctx_083,0.5802271962165833,0.5802271962165833,water_enhanced,2.2,winter,normal
9,seg_04,2024-01-01,0,prod_013,ctx_027,0.6386509537696838,0.6386509537696838,sports_drink,4.03,winter,normal
10,seg_01,2024-01-01,0,prod_045,ctx_066,0.557467520236969,0.557467520236969,coffee_drink,3.31,winter,normal
11,seg_01,2024-01-01,0,prod_037,ctx_010,0.7075756788253784,0.7075756788253784,tea,4.48,winter,normal
12,seg_03,2024-01-01,0,prod_048,ctx_069,0.5430188179016113,0.5430188179016113,energy_drink,4.06,winter,normal
13,seg_03,2024-01-01,0,prod_045,ctx_032,0.5320075750350952,0.5320075750350952,coffee_drink,3.31,winter,normal
14,seg_03,2024-01-01,0,prod_032,ctx_061,0.598577082157135,0.598577082157135,sports_drink,4.47,winter,normal
15,seg_01,2024-01-01,0,prod_025,ctx_062,0.7276226878166199,0.7276226878166199,tea,2.29,winter,normal
16,seg_01,2024-01-01,0,prod_048,ctx_025,0.541456937789917,0.541456937789917,energy_drink,4.06,winter,normal
17,seg_00,2024-01-01,0,prod_047,ctx_057,0.6077448725700378,0.6077448725700378,tea,3.42,winter,normal
18,seg_00,2024-01-01,0,prod_016,ctx_074,0.6041963696479797,0.6041963696479797,coffee_drink,4.33,winter,normal
19,seg_01,2024-01-01,0,prod_013,ctx_013,0.603874921798706,0.603874921798706,sports_drink,4.03,winter,normal
20,seg_04,2024-01-01,0,prod_025,ctx_017,0.6444733142852783,0.6444733142852783,tea,2.29,winter,normal
21,seg_02,2024-01-01,0,prod_048,ctx_005,0.6820458769798279,0.6820458769798279,energy_drink,4.06,winter,normal
22,seg_02,2024-01-01,0,prod_037,ctx_012,0.7464946508407593,0.7464946508407593,tea,4.48,winter,normal
23,seg_01,2024-01-01,0,prod_039,ctx_065,0.6101106405258179,0.6101106405258179,water_enhanced,3.94,winter,normal
24,seg_00,2024-01-01,0,prod_039,ctx_096,0.5679681301116943,0.5679681301116943,water_enhanced,3.94,winter,normal
25,seg_01,2024-01-01,0,prod_039,ctx_059,0.6333165168762207,0.6333165168762207,water_enhanced,3.94,winter,normal
26,seg_00,2024-01-01,0,prod_048,ctx_014,0.5769677758216858,0.5769677758216858,energy_drink,4.06,winter,normal
27,seg_04,2024-01-01,0,prod_048,ctx_038,0.5913025140762329,0.5913025140762329,energy_drink,4.06,winter,normal
28,seg_00,2024-01-01,0,prod_004,ctx_099,0.545825719833374,0.545825719833374,water_enhanced,1.55,winter,normal
29,seg_04,2024-01-01,0,prod_045,ctx_010,0.6450443863868713,0.6450443863868713,coffee_drink,3.31,winter,normal
30,seg_00,2024-01-01,0,prod_045,ctx_010,0.6178537011146545,0.6178537011146545,coffee_drink,3.31,winter,normal
31,seg_02,2024-01-01,0,prod_013,ctx_038,0.5775485038757324,0.5775485038757324,sports_drink,4.03,winter,normal
32,seg_02,2024-01-01,0,prod_032,ctx_062,0.6053193807601929,0.6053193807601929,sports_drink,4.47,winter,normal
33,seg_01,2024-01-01,0,prod_003,ctx_013,0.5802828073501587,0.5802828073501587,water_enhanced,2.2,winter,normal
34,seg_00,2024-01-01,0,prod_026,ctx_002,0.4958694577217102,0.4958694577217102,water_enhanced,2.69,winter,normal
35,seg_02,2024-01-01,0,prod_037,ctx_013,0.6425002813339233,0.6425002813339233,tea,4.48,winter,normal
36,seg_02,2024-01-01,0,prod_019,ctx_044,0.6168249249458313,0.6168249249458313,energy_drink,2.44,winter,normal
37,seg_03,2024-01-01,0,prod_012,ctx_001,0.5218474864959717,0.5218474864959717,water_enhanced,3.83,winter,normal
38,seg_04,2024-01-01,0,prod_004,ctx_062,0.6599631309509277,0.6599631309509277,water_enhanced,1.55,winter,normal
39,seg_00,2024-01-01,0,prod_030,ctx_061,0.622045636177063,0.622045636177063,sports_drink,1.86,winter,normal
40,seg_03,2024-01-01,0,prod_029,ctx_012,0.6680066585540771,0.6680066585540771,energy_drink,4.61,winter,normal
41,seg_02,2024-01-01,0,prod_026,ctx_094,0.6188486218452454,0.6188486218452454,water_enhanced,2.69,winter,normal
42,seg_01,2024-01-01,0,prod_032,ctx_045,0.6325830817222595,0.6325830817222595,sports_drink,4.47,winter,normal
43,seg_04,2024-01-01,0,prod_008,ctx_014,0.6132619380950928,0.6132619380950928,tea,4.86,winter,normal
