agent_id,segment_id,timestamp,time_step,product_id,context_id,intent_value,outcome,product_category,price,season,inflation_regime
0,seg_01,2024-01-01,0,prod_019,ctx_010,0.6631847534194482,0.6547240018844604,energy_drink,2.44,winter,normal
1,seg_04,2024-01-01,0,prod_032,ctx_090,0.5866489953285844,0.5825411081314087,sports_drink,4.47,winter,normal
2,seg_04,2024-01-01,0,prod_025,ctx_071,0.6363078409650272,0.6320250630378723,tea,2.29,winter,normal
3,seg_00,2024-01-01,0,prod_032,ctx_090,0.5791936343326644,0.5740141272544861,sports_drink,4.47,winter,normal
4,seg_00,2024-01-01,0,prod_017,ctx_052,0.5666581408689821,0.5615227818489075,energy_drink,2.64,winter,normal
5,seg_02,2024-01-01,0,prod_045,ctx_061,0.6365067219063983,0.627956748008728,coffee_drink,3.31,winter,normal
6,seg_00,2024-01-01,0,prod_045,ctx_016,0.5481889691517462,0.5431186556816101,coffee_drink,3.31,winter,normal
7,seg_00,2024-01-01,0,prod_039,ctx_066,0.5366258332857432,0.5315962433815002,water_enhanced,3.94,winter,normal
8,seg_00,2024-01-01,0,prod_003,ctx_083,0.5854286620926838,0.5802271962165833,water_enhanced,2.2,winter,normal
9,seg_04,2024-01-01,0,prod_013,ctx_027,0.6429571495273061,0.6386509537696838,sports_drink,4.03,winter,normal
10,seg_01,2024-01-01,0,prod_045,ctx_066,0.5655845389983194,0.557467520236969,coffee_drink,3.31,winter,normal
11,seg_01,2024-01-01,0,prod_037,ctx_010,0.7162232236023027,0.7075756788253784,tea,4.48,winter,normal
12,seg_03,2024-01-01,0,prod_048,ctx_069,0.5497825599300747,0.5430188179016113,energy_drink,4.06,winter,normal
13,seg_03,2024-01-01,0,prod_045,ctx_032,0.5387324001195402,0.5320075750350952,coffee_drink,3.31,winter,normal
14,seg_03,2024-01-01,0,prod_032,ctx_061,0.6055371832965545,0.598577082157135,sports_drink,4.47,winter,normal
15,seg_01,2024-01-01,0,prod_025,ctx_062,0.736341084570574,0.7276226878166199,tea,2.29,winter,normal
16,seg_01,2024-01-01,0,prod_048,ctx_025,0.5495173704829782,0.541456937789917,energy_drink,4.06,winter,normal
17,seg_00,2024-01-01,0,prod_047,ctx_057,0.6130435939406494,0.6077448725700378,tea,3.42,winter,normal
18,seg_00,2024-01-01,0,prod_016,ctx_074,0.6094825495742475,0.6041963696479797,coffee_drink,4.33,winter,normal
19,seg_01,2024-01-01,0,prod_013,ctx_013,0.6121559578531551,0.603874921798706,sports_drink,4.03,winter,normal
20,seg_04,2024-01-01,0,prod_025,ctx_017,0.6488000879632123,0.6444733142852783,tea,2.29,winter,normal
21,seg_02,2024-01-01,0,prod_048,ctx_005,0.6907870176358459,0.6820458769798279,energy_drink,4.06,winter,normal
22,seg_02,2024-01-01,0,prod_037,ctx_012,0.7554635722618377,0.7464946508407593,tea,4.48,winter,normal
23,seg_01,2024-01-01,0,prod_039,ctx_065,0.6184137154290653,0.6101106405258179,water_enhanced,3.94,winter,normal
24,seg_00,2024-01-01,0,prod_039,ctx_096,0.5731262688724906,0.5679681301116943,water_enhanced,3.94,winter,normal
25,seg_01,2024-01-01,0,prod_039,ctx_059,0.6417016081151147,0.6333165168762207,water_enhanced,3.94,winter,normal
26,seg_00,2024-01-01,0,prod_048,ctx_014,0.5821577219554124,0.5769677758216858,energy_drink,4.06,winter,normal
27,seg_04,2024-01-01,0,prod_048,ctx_038,0.5954413666375197,0.5913025140762329,energy_drink,4.06,winter,normal
28,seg_00,2024-01-01,0,prod_004,ctx_099,0.5509056008578113,0.545825719833374,water_enhanced,1.55,winter,normal
29,seg_04,2024-01-01,0,prod_045,ctx_010,0.649373178400181,0.6450443863868713,coffee_drink,3.31,winter,normal
30,seg_00,2024-01-01,0,prod_045,ctx_010,0.6231881500338573,0.6178537011146545,coffee_drink,3.31,winter,normal
31,seg_02,2024-01-01,0,prod_013,ctx_038,0.5859203203357028,0.5775485038757324,sports_drink,4.03,winter,normal
32,seg_02,2024-01-01,0,prod_032,ctx_062,0.6137893475992037,0.6053193807601929,sports_drink,4.47,winter,normal
33,seg_01,2024-01-01,0,prod_003,ctx_013,0.5884804619908655,0.5802828073501587,water_enhanced,2.2,winter,normal
34,seg_00,2024-01-01,0,prod_026,ctx_002,0.5007727787447438,0.4958694577217102,water_enhanced,2.69,winter,normal
35,seg_02,2024-01-01,0,prod_037,ctx_013,0.6511016563203814,0.6425002813339233,tea,4.48,winter,normal
36,seg_02,2024-01-01,0,prod_019,ctx_044,0.6253355557338987,0.6168249249458313,energy_drink,2.44,winter,normal
37,seg_03,2024-01-01,0,prod_012,ctx_001,0.5285364028640536,0.5218474864959717,water_enhanced,3.83,winter,normal
38,seg_04,2024-01-01,0,prod_004,ctx_062,0.6643446501589839,0.6599631309509277,water_enhanced,1.55,winter,normal
39,seg_00,2024-01-01,0,prod_030,ctx_061,0.627394900617468,0.622045636177063,sports_drink,1.86,winter,normal
40,seg_03,2024-01-01,0,prod_029,ctx_012,0.6752121440675056,0.6680066585540771,energy_drink,4.61,winter,normal
41,seg_02,2024-01-01,0,prod_026,ctx_094,0.6273664049684214,0.6188486218452454,water_enhanced,2.69,winter,normal
42,seg_01,2024-01-01,0,prod_032,ctx_045,0.6409655807873932,0.6325830817222595,sports_drink,4.47,winter,normal
43,seg_04,2024-01-01,0,prod_008,ctx_014,0.6174784016659248,0.6132619380950928,tea,4.86,winter,normal
44,seg_01,2024-01-01,0,prod_019,ctx_044,0.6078350796676514,0.5995692610740662,energy_drink,2.44,winter,normal
45,seg_02,2024-01-01,0,prod_013,ctx_090,0.6162861580594844,0.6078073978424072,sports_drink,4.03,winter,normal
46,seg_03,2024-01-01,0,prod_019,ctx_044,0.6079789038609529,0.6010102033615112,energy_drink,2.44,winter,normal
47,seg_02,2024-01-01,0,prod_026,ctx_010,0.6607856943805842,0.6521502137184143,water_enhanced,2.69,winter,normal
48,seg_00,2024-01-01,0,prod_003,ctx_096,0.5667714310566054,0.5616356730461121,water_enhanced,2.2,winter,normal
49,seg_03,2024-01-01,0,prod_004,ctx_061,0.6062823025506323,0.599319577217102,water_enhanced,1.55,winter,normal
0,seg_01,2024-01-02,1,prod_026,ctx_004,0.5866291184865736,0.5784379839897156,water_enhanced,2.69,winter,normal
1,seg_04,2024-01-02,1,prod_017,ctx_065,0.5465823712592072,0.5426155924797058,energy_drink,2.64,winter,normal
2,seg_04,2024-01-02,1,prod_004,ctx_069,0.6471508005591272,0.6428298354148865,water_enhanced,1.55,winter,normal
3,seg_00,2024-01-02,1,prod_037,ctx_071,0.5395931509349599,0.5345531105995178,tea,4.48,winter,normal
4,seg_00,2024-01-02,1,prod_037,ctx_069,0.5421278244832899,0.537078857421875,tea,4.48,winter,normal
5,seg_02,2024-01-02,1,prod_048,ctx_065,0.5970627751618143,0.588651716709137,energy_drink,4.06,winter,normal
6,seg_00,2024-01-02,1,prod_026,ctx_087,0.6115786573064984,0.6062850952148438,water_enhanced,2.69,winter,normal
7,seg_00,2024-01-02,1,prod_003,ctx_069,0.7335863274769,0.727863073348999,water_enhanced,2.2,winter,normal
8,seg_00,2024-01-02,1,prod_032,ctx_044,0.540990017752049,0.5359450578689575,sports_drink,4.47,winter,normal
9,seg_04,2024-01-02,1,prod_039,ctx_045,0.687756958679382,0.6832929849624634,water_enhanced,3.94,winter,normal
10,seg_01,2024-01-02,1,prod_025,ctx_076,0.5007718447382038,0.4928830862045288,tea,2.29,winter,normal
11,seg_01,2024-01-02,1,prod_045,ctx_085,0.6044831496074432,0.5962291359901428,coffee_drink,3.31,winter,normal
12,seg_03,2024-01-02,1,prod_004,ctx_087,0.6330147792042967,0.6259579062461853,water_enhanced,1.55,winter,normal
13,seg_03,2024-01-02,1,prod_032,ctx_059,0.6144165260589239,0.6074251532554626,sports_drink,4.47,winter,normal
14,seg_03,2024-01-02,1,prod_032,ctx_048,0.6005976354116909,0.5936549305915833,sports_drink,4.47,winter,normal
15,seg_01,2024-01-02,1,prod_004,ctx_053,0.5588370735205761,0.550743818283081,water_enhanced,1.55,winter,normal
16,seg_01,2024-01-02,1,prod_026,ctx_057,0.6258595245923957,0.6175302267074585,water_enhanced,2.69,winter,normal
17,seg_00,2024-01-02,1,prod_048,ctx_002,0.49599174141806474,0.4911052584648132,energy_drink,4.06,winter,normal
18,seg_00,2024-01-02,1,prod_008,ctx_044,0.596108624980726,0.5908695459365845,tea,4.86,winter,normal
19,seg_01,2024-01-02,1,prod_004,ctx_069,0.5385058513594578,0.5304841995239258,water_enhanced,1.55,winter,normal
20,seg_04,2024-01-02,1,prod_032,ctx_027,0.6261763246083041,0.6219292283058167,sports_drink,4.47,winter,normal
21,seg_02,2024-01-02,1,prod_045,ctx_059,0.5605261513155567,0.5522437691688538,coffee_drink,3.31,winter,normal
22,seg_02,2024-01-02,1,prod_003,ctx_035,0.5784765448927416,0.5701309442520142,water_enhanced,2.2,winter,normal
23,seg_01,2024-01-02,1,prod_017,ctx_099,0.5602694706288206,0.5521711707115173,energy_drink,2.64,winter,normal
